uf;mes;casos;populacao;incremento;prec;tmax;tmin
21;2017 jan;107;6994148,000000000;23,69999999999709;209,41078186035156;30,9779758453369;21,7628936767578
21;2017 fev;72;6997556,916666667;15,90833333334012;279,15747070312500;30,2716941833496;21,3475914001465
21;2017 mar;63;7000965,833333334;15,90833333334012;224,80549621582031;30,6126480102539;21,6721401214600
21;2017 abr;42;7004374,750000000;15,90833333332557;209,42655944824219;31,2748451232910;21,6995792388916
21;2017 mai;79;7007783,666666667;15,90833333334012;94,15441894531250;32,2707405090332;21,7362422943115
21;2017 jun;61;7011192,583333334;15,90833333332557;48,90352630615234;33,2616157531738;21,3271980285645
21;2017 jul;120;7014601,500000000;15,90833333334012;6,43826627731323;33,3768386840820;20,2284584045410
21;2017 ago;107;7018010,416666667;15,90833333332557;15,45537567138672;33,9218368530273;20,4752674102783
21;2017 set;84;7021419,333333334;15,90833333334012;3,20773553848267;34,2923316955566;21,9791660308838
21;2017 out;102;7024828,250000000;15,90833333334012;24,32388687133789;33,5822868347168;22,3635387420654
21;2017 nov;58;7028237,166666667;15,90833333332557;64,04886627197266;33,4773330688477;23,1946659088135
21;2017 dez;63;7031646,083333334;15,90833333334012;89,20684051513672;32,5638504028320;22,4525737762451
21;2018 jan;118;7035055,000000000;15,90833333332557;147,92431640625000;31,1628170013428;21,9893569946289
21;2018 fev;109;7038398,833333333;23,63333333333139;295,69342041015625;30,0717773437500;21,1175537109375
21;2018 mar;81;7041742,666666666;23,63333333333139;236,44567871093750;31,1449279785156;22,2478351593018
21;2018 abr;112;7045086,500000000;23,63333333333139;235,42304992675781;31,3102359771729;21,7765579223633
21;2018 mai;87;7048430,333333333;23,63333333333139;62,85966491699219;31,3852043151855;20,8803081512451
21;2018 jun;93;7051774,166666666;23,63333333333139;12,45971202850342;32,3635025024414;20,4273338317871
21;2018 jul;101;7055118,000000000;23,63333333333139;3,78212714195251;33,4528427124023;20,3032932281494
21;2018 ago;46;7058461,833333333;23,63333333333139;5,52708053588867;34,7173805236816;21,2802696228027
21;2018 set;41;7061805,666666666;23,63333333334594;19,12212371826172;34,8977050781250;22,5641593933105
21;2018 out;47;7065149,500000000;23,63333333333139;21,39148712158203;34,2285232543945;22,9804134368896
21;2018 nov;52;7068493,333333333;23,63333333333139;117,94709777832031;33,2766380310059;23,0311203002930
21;2018 dez;54;7071837,166666666;23,63333333333139;162,20341491699219;31,8073406219482;21,7200145721436
21;2019 jan;51;7075181,000000000;23,63333333333139;NA;NA;NA
21;2019 fev;44;7075181,000000000;0,00000000000000;NA;NA;NA
21;2019 mar;39;7075181,000000000;0,00000000000000;NA;NA;NA
21;2019 abr;53;7075181,000000000;0,00000000000000;NA;NA;NA
21;2019 mai;36;7075181,000000000;0,00000000000000;NA;NA;NA
21;2019 jun;52;7075181,000000000;0,00000000000000;NA;NA;NA
21;2019 jul;72;7075181,000000000;0,00000000000000;NA;NA;NA
21;2019 ago;60;7075181,000000000;0,00000000000000;NA;NA;NA
21;2019 set;50;7075181,000000000;0,00000000000000;NA;NA;NA
21;2019 out;41;7075181,000000000;0,00000000000000;NA;NA;NA
