"RONDÔNIA" "ACRE" "AMAZONAS" "RORAIMA" "PARÁ" "AMAPÁ" "TOCANTINS" "MARANHÃO" "MATO GROSSO" "OUTROS" "Total"
"RONDÔNIA" 0 1400.72069075972 1226.33807563292 129.253513979856 291.605068112577 32.4549607351966 93.7344532787732 249.032764425944 4871.2211908627 8494.21495410414 16788.5756718918
"ACRE" 2045.17311682948 0 695.086852586228 39.1970861851044 61.3006031948867 0 48.9452359446774 9.8593649560448 357.702611535705 1954.25747602912 5211.52234726124
"AMAZONAS" 2499.45383117886 1609.68874586803 0 1836.95485577913 3986.15518107521 112.671489445662 206.611923572273 412.225590362632 493.542476450941 7949.33256865749 19106.6366623902
"RORAIMA" 98.0588530417523 19.5977464022716 901.056015617148 0 412.087529852127 9.1479179304748 85.5730626517572 180.849003893055 43.4049162639824 1445.99518685518 3195.77023250775
"PARÁ" 1570.52686919784 63.3623654649156 9414.50048776194 1946.15990685119 0 8426.07376992891 6336.80269446102 10851.8646669564 3150.13756943482 29201.6129425577 70961.0412726146
"AMAPÁ" 57.2513618314422 0 222.987805889229 61.1536436342249 2771.24650946262 0 75.2120278648138 393.333742610066 72.5412112791423 1573.79989263833 5227.52619520987
"TOCANTINS" 157.296554019137 42.6039414125391 0 119.615018672114 4709.08635384933 74.6953215930289 0 2498.96579704453 881.589255841805 17262.009227885 25745.8614703174
"MARANHÃO" 1011.07707606745 39.7505881921276 1086.78004726304 1434.9508809903 15834.1450502209 980.825535716591 7723.56626169643 0 5273.75416625976 57951.2954826352 91336.1450890419
"MATO GROSSO" 4296.00448153627 198.672266267209 462.66269441079 135.489667878015 1947.59978913687 29.6497381353992 979.030031434604 1078.09265178886 0 27090.6063615623 36217.8076821503
"OUTROS" 12976.7058849925 1862.67958161446 7016.72094139341 2271.21007826119 16965.2330308846 1364.84735315684 15360.6515581816 24234.8500033684 34593.334022356 1157513.46533942 1274159.69779363
"RETORNADO" 1631.53752064482 718.008378607212 2498.62228337767 347.748149877416 5751.83844018296 708.757833528217 1985.32171461712 4315.12322613641 3771.59235055049 143080.641733466 164809.191630989
"NÃO MIGRANTE" 1368.99963746577 164.389822411746 889.105774213036 330.957834008093 1560.94074826775 512.071610314557 526.463373419369 554.263092634028 1205.96163733917 76923.1376451965 84036.29117527
"IGNORADO" 346.818562820986 78.2266594467959 509.753668516721 119.693887311375 739.336060560546 146.058430220959 214.712172480047 792.779927874471 441.453060419712 34669.6076514991 38058.4400811507
"NÃO SABE UF NEM PAIS" 32.9047718848113 0 0 0 71.3174676164652 0 19.7286287424966 7.1227003973646 30.4604862142956 1665.47139268819 1827.00544754363
"NÃO SABE UF" 130.678138591617 0 0 3.0827990315763 25.0390971706859 0 6.9774741852628 39.0192791827759 35.3218331360652 1196.21173341216 1436.33035471014
"Total" 28222.4866601027 6197.70078644704 24923.6146466621 8775.46732245959 55126.9309295876 12397.2539607058 33663.3306125303 45617.3818116309 55222.0167879446 1567971.65958861 1838117.84310668
