Source;Target;Weight;Weight_v
1100015;5107909;19,483924;19,4839242
1100015;5106752;19,950871;19,9508712
1100015;5105150;12,171802;12,17180161
1100015;5105002;4,194098;4,19409849
1100015;5103403;15,461333;15,46133316
1100015;5102850;13,701556;13,70155588
1100015;5102793;13,088887;13,0888868
1100015;5101902;7,855364;7,85536428
1100015;5101407;113,597229;113,5972292
1100015;5100805;27,273636;27,27363556
1100015;1500602;22,859824;22,85982393
1100015;1302603;20,844553;20,84455322
1100015;1200450;10,811052;10,811052
1100015;1200013;27,244047;27,2440474
1100015;1101807;3,671706;3,67170574
1100015;1101500;147,904131;147,90413116
1100015;1101484;57,174452;57,17445156
1100015;1101476;7,44318;7,44317973
1100015;1101450;31,688409;31,68840875
1100015;1101401;5,840281;5,84028129
1100015;1100940;3,873091;3,87309123
1100015;1100924;22,656448;22,6564478
1100015;1100908;2,217326;2,21732594
1100015;1100700;12,609566;12,60956583
1100015;1100502;90,014207;90,01420651
1100015;1100452;92,678902;92,67890174
1100015;1100379;334,27803;334,27803007
1100015;1100320;38,175619;38,1756189
1100015;1100304;70,424619;70,42461933
1100015;1100296;194,953576;194,95357635
1100015;1100288;255,751367;255,75136682
1100015;1100205;7,412054;7,41205455
1100015;1100189;29,949438;29,94943833
1100015;1100148;60,794616;60,79461621
1100015;1100122;44,108151;44,10815076
1100015;1100056;12,690655;12,69065536
1100015;1100049;183,476581;183,47658087
5107875;1100015;9,650881;9,65088056
5107107;1100015;23,429434;23,42943356
5106208;1100015;12,896587;12,89658683
5105622;1100015;37,265971;37,26597076
5105507;1100015;14,178419;14,17841856
5105150;1100015;11,776186;11,77618628
5103601;1100015;12,044779;12,04477917
5103403;1100015;91,929275;91,92927474
5102637;1100015;34,279231;34,27923063
1506161;1100015;57,021398;57,0213984
1503804;1100015;7,402934;7,40293428
1302603;1100015;15,317151;15,31715092
1200104;1100015;23,510752;23,5107518
1101500;1100015;16,340408;16,34040768
1100924;1100015;8,856994;8,85699374
1100502;1100015;38,243323;38,24332279
1100379;1100015;120,753534;120,75353412
1100346;1100015;25,313176;25,31317601
1100296;1100015;302,909806;302,90980579
1100288;1100015;317,097527;317,09752742
1100254;1100015;52,411788;52,41178795
1100205;1100015;63,99276;63,99276032
1100189;1100015;172,553815;172,55381516
1100155;1100015;6,907976;6,9079761
1100148;1100015;99,3084;99,30839995
1100122;1100015;21,515918;21,51591797
1100114;1100015;63,51041;63,51040948
1100106;1100015;46,815518;46,81551833
1100098;1100015;105,063863;105,06386287
1100080;1100015;8,756242;8,75624237
1100064;1100015;21,149552;21,14955246
1100049;1100015;143,772656;143,7726557
1100023;1100015;47,596962;47,5969617
1100023;5108402;60,255798;60,25579791
1100023;5108006;24,45615;24,45615005
1100023;5107958;8,176705;8,17670523
1100023;5107925;9,189999;9,18999913
1100023;5107909;68,492054;68,49205416
1100023;5107875;11,076986;11,07698638
1100023;5107602;46,415839;46,41583896
1100023;5107065;21,793765;21,79376516
1100023;5107040;12,153584;12,15358373
1100023;5106752;58,002782;58,00278192
1100023;5106240;12,564476;12,56447605
1100023;5106224;4,076967;4,07696742
1100023;5106182;10,571536;10,57153578
1100023;5105903;14,243428;14,2434279
1100023;5105507;5,008274;5,00827361
1100023;5105200;11,401601;11,40160083
1100023;5105176;24,229164;24,22916398
1100023;5105101;6,951198;6,95119792
1100023;5103957;6,129264;6,12926446
1100023;5103502;14,925397;14,9253971
1100023;5103403;8,774901;8,77490142
1100023;5103056;4,096008;4,09600828
1100023;5102850;6,371637;6,37163678
1100023;5102793;10,816249;10,81624914
1100023;5102637;12,787379;12,78737935
1100023;5101902;9,318955;9,31895502
1100023;5101407;103,70203;103,70202969
1100023;2111300;13,275544;13,27554429
1100023;2108108;9,572749;9,5727486
