"RONDÔNIA" "ACRE" "AMAZONAS" "RORAIMA" "PARÁ" "AMAPÁ" "TOCANTINS" "MARANHÃO" "MATO GROSSO" "OUTROS" "Total"
"RONDÔNIA" 0 709.247573738074 1626.10445406857 184.649341672095 213.864476639761 0 25.2210282279925 252.027777150464 3637.71682835843 5841.36655852007 12490.1980383755
"ACRE" 1588.91795818539 0 767.40424475062 57.9328602259044 81.7678768897726 3.6966976707018 5.8670619630562 31.3143255962214 219.447752145994 1042.70702800571 3799.05580543337
"AMAZONAS" 1875.78533834498 881.505916796166 0 1408.84617901438 2641.94776765441 161.901180366961 34.0144278801276 921.697518005483 159.132312616681 5827.95435600442 13912.7849966836
"RORAIMA" 169.329482830313 5.6333504135063 601.268911942243 0 185.899617316079 0 27.8177970980764 458.993961504309 3.1430528463787 1216.99767739446 2669.08385134536
"PARÁ" 980.801612028145 243.030682990143 7964.88537712505 1964.7900741641 0 6815.32126139565 4026.46954664551 9409.51702583141 2368.76162343897 21400.9399429793 55174.5171465983
"AMAPÁ" 31.7312188929155 0 120.107615688087 0 2459.56416936702 0 17.0795740185762 461.932419613585 10.2949317484863 1118.56396059227 4219.27388992094
"TOCANTINS" 501.623148708505 72.2527113353038 106.927617088325 110.363633991434 4112.44815145927 25.0509737093237 0 2667.38413508658 541.867169115683 12113.1534563102 20251.0709968046
"MARANHÃO" 1007.11965235457 41.7693395318145 1127.98557901242 1281.99871835172 14842.5220899359 847.096041617264 4667.93195734935 0 3914.61073151323 40279.3884249232 68010.4225345894
"MATO GROSSO" 3694.74961539651 208.598672702795 380.598256711003 115.385694012922 1761.90678086856 39.7244519055219 723.861547886064 699.02061585112 0 21059.1524153871 28682.9980507216
"OUTROS" 10688.7610114522 1198.63933462351 7432.16325808466 1880.30328941672 12788.2649662765 1034.4279545224 11139.1003175491 18940.8916630652 28641.2422086803 909129.658834544 1002873.45283821
"RETORNADO" 1628.70470222094 419.720504867987 2965.20521010568 281.315142810225 5854.16038026411 478.463653792076 2040.2507256534 4988.60162032354 4295.55329076242 146353.162996791 169305.138227591
"NÃO MIGRANTE" 1142.44685080278 332.495425812002 1442.58688831279 464.853673075944 909.135792100702 118.906607731569 300.132642156168 382.155758582839 1221.89581872335 78450.1943846658 84764.803841964
"IGNORADO" 191.06572786947 29.2859958106452 294.157257395278 93.9333064793917 504.650237141214 145.601433570046 192.384280687135 398.542534110827 308.828789768942 33512.2333429647 35670.6829057977
"NÃO SABE UF NEM PAIS" 4.378205935269 0 0 0 7.6511170589547 0 16.3118611198966 21.7918477689722 43.7463647363156 637.069349847592 730.948746467
"NÃO SABE UF" 4.1306936425008 0 0 24.3040419631613 24.448850315992 0 0 0 0 563.27691224499 616.160498166644
"Total" 23509.5452186645 4142.17950862195 24829.3946702847 7868.67595517799 46388.2322732883 9670.19025628152 23216.4427682345 39633.8712024906 45366.2408744552 1278545.81964117 1503170.59236867
