MUNIAT;IDADE_2;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
ROSÁRIO;[15,20);4222,99999999952;258,017946777718;726,131293487353;984,149240265072;-468,113346709635;-0,475652805039562;0,017194678983837;0,00610982587681145;0,0233045048606484
ROSÁRIO;[20,25);4353,99999999956;500,866912552427;1480,83749667842;1981,70440923085;-979,970584125993;-0,494508958834252;0,0340109668506791;0,0115036038712099;0,045514570721889
ROSÁRIO;[25,30);3627,99999999965;392,384688366394;1123,07710585155;1515,46179421795;-730,692417485158;-0,482158257155029;0,0309558187941472;0,0108154544753702;0,0417712732695175
ROSÁRIO;[30,35);2830,99999999973;304,498422480353;854,49088354284;1158,98930602319;-549,992461062486;-0,474544897182581;0,0301833586557019;0,0107558609141781;0,04093921956988
ROSÁRIO;[35,40);2261,99999999977;146,310247586418;409,112280780566;555,422528366985;-262,802033194148;-0,473156956680927;0,0180863077268173;0,00646818070673886;0,0245544884335562
ROSÁRIO;[40,45);2006,9999999998;178,615266775604;390,032098975442;568,647365751046;-211,416832199838;-0,371788994257641;0,0194335873928989;0,00889961468737529;0,0283332020802742
ROSÁRIO;[45,50);1773,99999999982;118,226889882001;304,122072675177;422,348962557179;-185,895182793176;-0,440145943931398;0,0171432960921764;0,00666442445783617;0,0238077205500125
ROSÁRIO;[50,55);1720,28619910886;125,057103920106;82,9443229074936;208,001426827599;42,1127810126121;0,202463904478487;0,00482154207540932;0,00726955223990562;0,0120910943153149
ROSÁRIO;[55,60);1042,71380089092;24,2655234262662;137,821499747741;162,087023174008;-113,555976321475;-0,700586475695638;0,0132175770216126;0,00232715088316018;0,0155447279047727
ROSÁRIO;[60,139);3616,94362087041;148,935908582002;345,146336010616;494,082244592618;-196,210427428613;-0,397120984564813;0,00954248592704238;0,00411772823116777;0,0136602141582102
ROSÁRIO OESTE;[0,5);1280,04959122144;361,408536738663;205,266818883762;566,675355622425;156,141717854902;0,275539983000317;0,0160358489461251;0,0282339480608562;0,0442697970069813
ROSÁRIO OESTE;[5,10);1471,00000000002;423,971622288798;321,777500468089;745,749122756888;102,194121820709;0,13703552401499;0,0218747451032009;0,0288220001555944;0,0506967452587953
ROSÁRIO OESTE;[10,15);1756,00000000002;264,878642456072;349,995561681947;614,874204138019;-85,1169192258756;-0,13842980995633;0,0199314101185617;0,0150842051512568;0,0350156152698184
ROSÁRIO OESTE;[15,20);1659,00000000002;208,034296275839;583,976969314205;792,011265590045;-375,942673038366;-0,47466834042858;0,0352005406458227;0,0125397405832331;0,0477402812290558
ROSÁRIO OESTE;[20,25);1350,00000000001;230,719662981875;724,270189926912;954,989852908787;-493,550526945038;-0,51681232574539;0,0536496436982893;0,0170903454060646;0,0707399891043539
ROSÁRIO OESTE;[25,30);1400,00000000001;245,441469810702;657,901363168659;903,342832979361;-412,459893357956;-0,456592866295957;0,0469929545120466;0,0175315335579071;0,0645244880699537
ROSÁRIO OESTE;[30,35);1341,00000000001;272,572305271532;469,674496722802;742,246801994334;-197,10219145127;-0,265548050758425;0,0350241981150483;0,0203260481186822;0,0553502462337305
ROSÁRIO OESTE;[35,40);1151,00000000001;214,228739275041;483,463519656853;697,692258931894;-269,234780381812;-0,385893317483539;0,0420037810301345;0,0186124013271102;0,0606161823572447
ROSÁRIO OESTE;[40,45);1107,00000000001;192,722930632974;157,464109511346;350,18704014432;35,2588211216277;0,100685682448719;0,0142244001365262;0,0174094788286334;0,0316338789651596
ROSÁRIO OESTE;[45,50);1059,00000000001;154,099778605681;280,801750497107;434,901529102788;-126,701971891426;-0,291334850334546;0,026515746033721;0,0145514427389689;0,0410671887726898
ROSÁRIO OESTE;[50,55);912,523019067896;108,855065936764;171,984403952168;280,839469888932;-63,1293380154034;-0,224787983114945;0,0188471304677708;0,0119290213684642;0,0307761518362351
ROSÁRIO OESTE;[55,60);905,476980932116;163,708535784966;72,9857818254109;236,694317610377;90,7227539595554;0,383290798340559;0,00806047899199799;0,0180798119921769;0,0261402909841749
ROSÁRIO OESTE;[60,139);2286,95040877859;184,84418260655;338,749780365385;523,593962971936;-153,905597758835;-0,293940741572462;0,0148122923463961;0,0080825619085143;0,0228948542549104
