orig;dest;fluxo
ALTA FLORESTA D'OESTE;CACOAL;22,3822607715912
ALTA FLORESTA D'OESTE;ROLIM DE MOURA;32,5645084066519
ALTA FLORESTA D'OESTE;ALTO ALEGRE DOS PARECIS;36,9522884762546
ALTA FLORESTA D'OESTE;PARECIS;36,2060043069867
ALTA FLORESTA D'OESTE;SÃO FRANCISCO DO GUAPORÉ;36,6684434646555
ALTA FLORESTA D'OESTE;SÃO JOSÉ DOS QUATRO MARCOS;21,4112488549744
ALTA FLORESTA D'OESTE;OUTROS;189,49331688341
ALTA FLORESTA D'OESTE;IGNORADO;23,0334822310874
ALTA FLORESTA D'OESTE;N�O SABE MUNIC�PIO;16,2699873100738
ARIQUEMES;CACOAL;100,874185319467
ARIQUEMES;COLORADO DO OESTE;7,0426252969707
ARIQUEMES;COSTA MARQUES;10,5047961827221
ARIQUEMES;ESPIGÃO D'OESTE;57,0940543523892
ARIQUEMES;JARÚ;64,2931926043593
ARIQUEMES;JI-PARANÁ;234,071684938042
ARIQUEMES;MACHADINHO D'OESTE;146,595299590886
ARIQUEMES;OURO PRETO DO OESTE;108,53210311328
ARIQUEMES;PIMENTA BUENO;13,8576449355091
ARIQUEMES;PORTO VELHO;107,717745694195
ARIQUEMES;PRESIDENTE MÉDICI;12,3592283670271
ARIQUEMES;RIO CRESPO;59,005851839315
ARIQUEMES;ROLIM DE MOURA;19,3756959153486
ARIQUEMES;VILHENA;16,1396611053716
ARIQUEMES;NOVA MAMORÉ;10,9943369965506
ARIQUEMES;ALVORADA D'OESTE;9,6609871544558
ARIQUEMES;ALTO PARAÍSO;48,5775984567403
ARIQUEMES;BURITIS;19,1022422764191
ARIQUEMES;CACAULÂNDIA;33,609543931805
ARIQUEMES;CAMPO NOVO DE RONDÔNIA;11,4209361255655
ARIQUEMES;CUJUBIM;10,8852926655302
ARIQUEMES;GOVERNADOR JORGE TEIXEIRA;23,699452348667
ARIQUEMES;ITAPUÃ DO OESTE;120,235307161892
ARIQUEMES;MIRANTE DA SERRA;20,7090151303146
ARIQUEMES;MONTE NEGRO;25,8950768589152
ARIQUEMES;NOVA UNIÃO;22,2452372569737
ARIQUEMES;SERINGUEIRAS;9,7301204908393
ARIQUEMES;THEOBROMA;7,9855687823833
ARIQUEMES;VALE DO ANARI;55,4180025276076
ARIQUEMES;FEIJÓ;26,8113923710608
ARIQUEMES;RIO BRANCO;74,0536327694078
ARIQUEMES;HUMAITÁ;10,3317510870166
ARIQUEMES;MANAUS;22,9275139363742
ARIQUEMES;BOA VISTA;82,894159563486
ARIQUEMES;PINHEIRO;9,8333025725474
ARIQUEMES;SÃO LUÍS;45,7435376002492
ARIQUEMES;CÁCERES;109,754616940429
ARIQUEMES;COLNIZA;48,3100410568078
ARIQUEMES;CUIABÁ;62,7865295144791
ARIQUEMES;JACIARA;12,2912719864623
ARIQUEMES;MARCELÂNDIA;15,2642455428816
ARIQUEMES;OUTROS;472,816407494875
ARIQUEMES;N�O MIGRANTE;47,7518396758563
ARIQUEMES;IGNORADO;75,2609141253513
ARIQUEMES;N�O SABE MUNIC�PIO;46,3506233054659
CABIXI;CEREJEIRAS;9,8377471672734
CABIXI;COLORADO DO OESTE;14,9212584384115
CABIXI;VILHENA;39,0471889336803
CABIXI;SÃO MIGUEL DO GUAPORÉ;3,1935124052665
CABIXI;BURITIS;12,9347056455789
CABIXI;CHUPINGUAIA;9,8563486089216
CABIXI;CASTANHAL;3,6081349071445
CABIXI;CÁCERES;5,7737564940532
CABIXI;JUÍNA;5,8128721662982
CABIXI;PONTES E LACERDA;2,7331320333699
CABIXI;RONDONÓPOLIS;4,8593319003755
CABIXI;OUTROS;11,1994355538392
CABIXI;IGNORADO;6,2277967150937
CACOAL;ALTA FLORESTA D'OESTE;9,5416486284106
CACOAL;ESPIGÃO D'OESTE;90,7111244117649
CACOAL;JI-PARANÁ;85,1494270385483
CACOAL;MACHADINHO D'OESTE;9,802135913022
CACOAL;NOVA BRASILÂNDIA D'OESTE;59,972928475351
CACOAL;PIMENTA BUENO;68,1479383047242
CACOAL;PORTO VELHO;19,45730460472
CACOAL;PRESIDENTE MÉDICI;20,5738219889017
CACOAL;ROLIM DE MOURA;81,3801224601993
CACOAL;SANTA LUZIA D'OESTE;13,8059322179098
CACOAL;VILHENA;58,3299598244923
CACOAL;SÃO MIGUEL DO GUAPORÉ;43,0351332688214
CACOAL;NOVA MAMORÉ;10,664079880086
CACOAL;ALVORADA D'OESTE;84,7194083078719
CACOAL;BURITIS;17,45167704044
CACOAL;NOVO HORIZONTE DO OESTE;8,4615736325237
CACOAL;MINISTRO ANDREAZZA;52,6511165040077
CACOAL;SÃO FRANCISCO DO GUAPORÉ;86,105647498224
CACOAL;SERINGUEIRAS;10,6699809820755
CACOAL;VALE DO PARAÍSO;8,1646004176659
CACOAL;RIO BRANCO;10,7220240226901
CACOAL;APUÍ;39,0901118798454
CACOAL;MANAUS;17,335481059791
CACOAL;NOVO PROGRESSO;9,807841870505
CACOAL;CUIABÁ;29,7369931948946
CACOAL;SINOP;45,6579351393949
CACOAL;OUTROS;279,559179524769
CACOAL;N�O MIGRANTE;21,3670543762026
CACOAL;IGNORADO;27,4585238509913
CACOAL;N�O SABE MUNIC�PIO;22,6875312323548
CEREJEIRAS;ARIQUEMES;4,9618578403788
CEREJEIRAS;CABIXI;10,194256043631
CEREJEIRAS;CACOAL;24,0452355443313
CEREJEIRAS;COLORADO DO OESTE;50,0495739433959
CEREJEIRAS;CORUMBIARA;6,8186684931152
CEREJEIRAS;ESPIGÃO D'OESTE;5,1826783979247
CEREJEIRAS;JI-PARANÁ;27,2570546648837
CEREJEIRAS;PIMENTA BUENO;28,2253539792926
CEREJEIRAS;ROLIM DE MOURA;5,1149450081894
CEREJEIRAS;VILHENA;52,086675069479
CEREJEIRAS;NOVA MAMORÉ;5,0797462967272
CEREJEIRAS;BURITIS;8,577918922664
CEREJEIRAS;PIMENTEIRAS DO OESTE;5,0883494224106
CEREJEIRAS;SÃO FRANCISCO DO GUAPORÉ;13,2872594847766
CEREJEIRAS;URUPÁ;17,2678608663156
CEREJEIRAS;BRASILÉIA;4,9984328369839
CEREJEIRAS;ARIPUANÃ;29,2227026574498
CEREJEIRAS;CAMPOS DE JÚLIO;8,151408491192
CEREJEIRAS;COLNIZA;5,3478549278344
CEREJEIRAS;JURUENA;4,2056869634821
CEREJEIRAS;OUTROS;91,6903088944286
CEREJEIRAS;N�O MIGRANTE;5,9595300752883
CEREJEIRAS;IGNORADO;4,0510265495763
COLORADO DO OESTE;CABIXI;15,9686380968649
COLORADO DO OESTE;CACOAL;18,6087642542616
COLORADO DO OESTE;CEREJEIRAS;9,6383252602115
COLORADO DO OESTE;CORUMBIARA;5,7219280700236
COLORADO DO OESTE;MACHADINHO D'OESTE;6,8774319510399
COLORADO DO OESTE;OURO PRETO DO OESTE;12,8910860454848
COLORADO DO OESTE;PORTO VELHO;38,3012729474797
COLORADO DO OESTE;VILHENA;130,541647057058
COLORADO DO OESTE;URUPÁ;22,5341228576328
COLORADO DO OESTE;RIO BRANCO;4,7104811938506
COLORADO DO OESTE;COLNIZA;4,4788745617748
COLORADO DO OESTE;CUIABÁ;6,3414101991289
COLORADO DO OESTE;JUÍNA;4,7170719191929
COLORADO DO OESTE;SÃO JOSÉ DOS QUATRO MARCOS;4,9486785512688
COLORADO DO OESTE;OUTROS;82,6585509139826
COLORADO DO OESTE;IGNORADO;21,3347829693006
COLORADO DO OESTE;N�O SABE MUNIC�PIO;5,7779759740571
CORUMBIARA;CABIXI;27,04402345378
CORUMBIARA;CEREJEIRAS;145,840022384905
CORUMBIARA;COLORADO DO OESTE;4,301268247348
CORUMBIARA;ESPIGÃO D'OESTE;25,0482226333128
CORUMBIARA;PORTO VELHO;1,495424907355
CORUMBIARA;VILHENA;20,686990091398
CORUMBIARA;NOVO HORIZONTE DO OESTE;4,82823370785
CORUMBIARA;ARAPUTANGA;11,9222427475739
CORUMBIARA;PEDRA PRETA;3,3278640278592
CORUMBIARA;PONTES E LACERDA;3,4478514291014
CORUMBIARA;SAPEZAL;9,9328380051176
CORUMBIARA;OUTROS;24,8149754166797
CORUMBIARA;IGNORADO;39,4039768771994
CORUMBIARA;N�O SABE MUNIC�PIO;5,8364061695522
COSTA MARQUES;ALTA FLORESTA D'OESTE;6,440340623111
COSTA MARQUES;GUAJARÁ-MIRIM;48,0863350403208
COSTA MARQUES;JI-PARANÁ;36,210927948103
COSTA MARQUES;NOVA BRASILÂNDIA D'OESTE;3,7783070933516
COSTA MARQUES;PORTO VELHO;14,4437064945277
COSTA MARQUES;PRESIDENTE MÉDICI;67,3023146919921
COSTA MARQUES;ROLIM DE MOURA;11,3974172618071
COSTA MARQUES;SÃO MIGUEL DO GUAPORÉ;33,2638922735004
COSTA MARQUES;ALVORADA D'OESTE;27,248784046277
COSTA MARQUES;BURITIS;4,1848984008302
COSTA MARQUES;CANDEIAS DO JAMARI;13,2683286042285
COSTA MARQUES;CUJUBIM;4,0479020211332
COSTA MARQUES;PIMENTEIRAS DO OESTE;4,2194129843701
COSTA MARQUES;SÃO FRANCISCO DO GUAPORÉ;20,0834083286479
COSTA MARQUES;URUPÁ;3,9705270475039
COSTA MARQUES;MANICORÉ;17,6010059923988
COSTA MARQUES;BELÉM;7,972205568216
COSTA MARQUES;JANGADA;5,643622289635
COSTA MARQUES;PONTES E LACERDA;26,5568000367772
COSTA MARQUES;OUTROS;36,0659295951616
COSTA MARQUES;N�O MIGRANTE;13,2408300476381
COSTA MARQUES;IGNORADO;46,8753258335507
ESPIGÃO D'OESTE;ALTA FLORESTA D'OESTE;18,961518958342
ESPIGÃO D'OESTE;CACOAL;95,969386307133
ESPIGÃO D'OESTE;JARÚ;22,5175952868394
ESPIGÃO D'OESTE;MACHADINHO D'OESTE;20,023260047344
