MUNIAT;SEXO;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
FIGUEIRÓPOLIS;Fem;2635,00000000001;609,844040010038;713,983414640368;1323,82745465041;-104,13937463033;-0,0786653685603091;0,0270961447681353;0,0231439863381418;0,0502401311062771
FIGUEIRÓPOLIS;Masc;2705,00000000001;678,6852350758;674,672566294265;1353,35780137007;4,01266878153467;0,0029649725870516;0,0249416845210449;0,0250900271747061;0,0500317116957509
FIGUEIRÓPOLIS D'OESTE;Fem;1860;619,599092555566;546,969677375107;1166,56876993067;72,6294151804586;0,062259008686453;0,0294069719018874;0,033311779169654;0,0627187510715415
FIGUEIRÓPOLIS D'OESTE;Masc;1936;550,388681854434;667,980734542032;1218,36941639647;-117,592052687599;-0,0965159262084869;0,0345031371147743;0,0284291674511587;0,0629323045659331
FILADÉLFIA;Fem;4035,00000000006;615,105765261726;989,897915196617;1605,00368045834;-374,792149934891;-0,233514822737267;0,0245327860023941;0,0152442568838096;0,0397770428862037
FILADÉLFIA;Masc;4470,00000000006;643,800369472191;1081,95773022856;1725,75809970075;-438,157360756369;-0,253892686832729;0,0242048709223388;0,0144026928293553;0,0386075637516941
FLORESTA DO ARAGUAIA;Fem;8217;2367,45920836541;1266,14089848863;3633,60010685404;1101,31830987677;0,303092876896211;0,0154087975963081;0,0288117221414799;0,044220519737788
FLORESTA DO ARAGUAIA;Masc;9550,99999999999;2752,96445311589;1476,99881935559;4229,96327247148;1275,9656337603;0,301649341039024;0,0154643369213233;0,0288238347096209;0,0442881716309442
FONTE BOA;Fem;10993,000000001;816,802076955787;768,490888959788;1585,29296591557;48,3111879959998;0,0304746119706007;0,00699072945474136;0,00743020173706643;0,0144209311918078
FONTE BOA;Masc;11824,0000000011;707,208608576308;788,452417984295;1495,6610265606;-81,2438094079868;-0,0543196673345254;0,00666823763518456;0,00598112828633494;0,0126493659215195
FORMOSA DA SERRA NEGRA;Fem;8433;883,208493463606;840,405258902485;1723,61375236609;42,8032345611204;0,0248334259937078;0,0099656736499761;0,0104732419478668;0,0204389155978429
FORMOSA DA SERRA NEGRA;Masc;9324;803,458151892266;702,198302585328;1505,65645447759;101,259849306938;0,0672529573434937;0,00753108432631197;0,00861709729614185;0,0161481816224538
FORMOSO DO ARAGUAIA;Fem;8820,00000000041;1604,96887597823;2674,12088984312;4279,08976582135;-1069,15201386489;-0,249855009447241;0,0303188309506009;0,0181969260314984;0,0485157569820992
FORMOSO DO ARAGUAIA;Masc;9607,00000000043;1503,55365633068;2590,11127358892;4093,6649299196;-1086,55761725824;-0,265424170238472;0,0269606669469013;0,0156506053537068;0,0426112723006081
