MUNIAT;IMIGRANTE;EMIGRANTE;POP_TOTAL;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
AMARANTE DO MARANHÃO;4649,28651380872;5405,9313320011;37931,9999999999;10055,2178458098;-756,644818192374;-0,0752489731992909;0,0142516380153989;0,0122568979062763;0,0265085359216752
AMATURÁ;644,909443954941;677,87780725919;9467,00000000063;1322,78725121413;-32,9683633042482;-0,0249234056905129;0,0071604289348172;0,00681218383812082;0,013972612772938
ANAJATUBA;1387,90594064253;2700,84793131847;25290,9999999999;4088,753871961;-1312,94199067594;-0,321110546584757;0,0106790871508382;0,00548774639453773;0,0161668335453759
ANAJÁS;1897,05678854541;2210,19997495369;24759,0000000008;4107,2567634991;-313,143186408274;-0,0762414439708653;0,00892685477989264;0,00766208969887861;0,0165889444787712
ANAMÃ;849,846729474025;996,575139152309;10213,9999999999;1846,42186862633;-146,728409678285;-0,0794663517430309;0,00975695260575989;0,00832041050982993;0,0180773631155898
ANANINDEUA;110001,597462132;29273,1349920214;471979,999999993;139274,732454153;80728,4624701106;0,579634661992152;0,00620219818467346;0,0233064107509076;0,029508608935581
ANANÁS;1784,26548948738;3279,10908143974;9864,99999999986;5063,37457092713;-1494,84359195236;-0,295226744735704;0,0332398284991362;0,0180868270601866;0,0513266555593228
ANAPU;9403,43721636805;2675,99234575604;20542,9999999999;12079,4295621241;6727,44487061202;0,556933987322249;0,0130262977450034;0,0457744108278639;0,0588007085728673
ANAPURUS;1766,82985570334;2004,35783532539;13939;3771,18769102873;-237,527979622043;-0,062984926522511;0,0143794951956768;0,0126754419664491;0,0270549371621259
ANGICO;824,512051032998;553,838294689762;3175,00000000002;1378,35034572276;270,673756343235;0,196375150326025;0,0174437258170003;0,0259688834971022;0,0434126093141025
ANORI;1218,30030923679;1564,87245144405;16316,999999997;2783,17276068084;-346,57214220726;-0,124524121212827;0,00959044218572247;0,00746644793305762;0,0170568901187801
