orig;dest;fluxo
ALTA FLORESTA D'OESTE;ARIQUEMES;10,917389873568
ALTA FLORESTA D'OESTE;CACOAL;130,041391216
ALTA FLORESTA D'OESTE;CEREJEIRAS;10,5931229601993
ALTA FLORESTA D'OESTE;COLORADO DO OESTE;53,588564014689
ALTA FLORESTA D'OESTE;JARÚ;11,7615441164016
ALTA FLORESTA D'OESTE;JI-PARANÁ;19,2299139864356
ALTA FLORESTA D'OESTE;NOVA BRASILÂNDIA D'OESTE;26,3590632089805
ALTA FLORESTA D'OESTE;PORTO VELHO;22,1433471518707
ALTA FLORESTA D'OESTE;PRESIDENTE MÉDICI;11,2492117169149
ALTA FLORESTA D'OESTE;ROLIM DE MOURA;142,132145227915
ALTA FLORESTA D'OESTE;VILHENA;49,8179599021845
ALTA FLORESTA D'OESTE;NOVO HORIZONTE DO OESTE;43,4994156583646
ALTA FLORESTA D'OESTE;CHUPINGUAIA;19,0724461129202
ALTA FLORESTA D'OESTE;MANAUS;11,2434187060824
ALTA FLORESTA D'OESTE;GUARANTÃ DO NORTE;7,373611728557
ALTA FLORESTA D'OESTE;OUTROS;106,436273052425
ALTA FLORESTA D'OESTE;N�O MIGRANTE;33,3455400696098
ALTA FLORESTA D'OESTE;IGNORADO;43,3124025952926
ARIQUEMES;CACOAL;53,7319127155142
ARIQUEMES;CEREJEIRAS;35,4593651597775
ARIQUEMES;COLORADO DO OESTE;41,211811551829
ARIQUEMES;ESPIGÃO D'OESTE;31,6559274594789
ARIQUEMES;GUAJARÁ-MIRIM;10,4371071065577
ARIQUEMES;JARÚ;240,35695769108
ARIQUEMES;JI-PARANÁ;177,154102242143
ARIQUEMES;MACHADINHO D'OESTE;43,7796853977609
ARIQUEMES;OURO PRETO DO OESTE;128,404053232614
ARIQUEMES;PIMENTA BUENO;18,5985230797068
ARIQUEMES;PORTO VELHO;195,807466161211
ARIQUEMES;PRESIDENTE MÉDICI;25,26089128032
ARIQUEMES;ROLIM DE MOURA;9,9952337967111
ARIQUEMES;VILHENA;77,5776950126119
ARIQUEMES;SÃO MIGUEL DO GUAPORÉ;13,9915507642496
ARIQUEMES;ALTO PARAÍSO;60,177564994507
ARIQUEMES;BURITIS;77,6809878632808
ARIQUEMES;CACAULÂNDIA;93,7309230273673
ARIQUEMES;CAMPO NOVO DE RONDÔNIA;11,3997898063519
ARIQUEMES;CANDEIAS DO JAMARI;10,5728277953448
ARIQUEMES;CUJUBIM;19,7259969885077
ARIQUEMES;GOVERNADOR JORGE TEIXEIRA;10,4619522565353
ARIQUEMES;ITAPUÃ DO OESTE;39,0151175231773
ARIQUEMES;MIRANTE DA SERRA;32,7728493443334
ARIQUEMES;MONTE NEGRO;46,9369948575973
ARIQUEMES;NOVA UNIÃO;42,4154740701885
