UF;IDADE_2;POP_TOTAL;IMIGRANTE;EMIGRANTE;MIGRANTE;SALDO;IEM;TX_IMIG;TX_EMIG;TX_MIG
ACRE;[0,5);77491,7812785344;1907,05257470848;2150,21827376663;4057,27084847511;-243,165699058158;-0,059933316788439;0,00277476945076014;0,00246097398103912;0,00523574343179926
ACRE;[5,10);82158,0000000007;3205,29644796917;3486,1884980682;6691,48494603737;-280,892050099037;-0,0419775359825592;0,00424327332465271;0,00390138081254307;0,00814465413719579
ACRE;[10,15);87707,0000000009;3211,70179447067;3355,52222510243;6567,2240195731;-143,820430631762;-0,0218997296579371;0,00382583171822362;0,00366185343754847;0,00748768515577209
ACRE;[15,20);76983,0000000004;3336,33093588488;3420,7187926704;6757,04972855529;-84,387856785519;-0,0124888612894021;0,00444347296503174;0,00433385414427194;0,00877732710930368
ACRE;[20,25);70335,0000000011;4196,49045633034;4445,96189056756;8642,4523468979;-249,471434237222;-0,0288658154217959;0,00632112304054524;0,00596643272386475;0,01228755576441
ACRE;[25,30);67418,0000000007;4777,33442349836;4317,83746875703;9095,17189225539;459,496954741336;0,0505209753245676;0,0064045766245765;0,00708614082811463;0,0134907174526911
ACRE;[30,35);59105,0000000003;3975,76329213958;3571,72148872775;7547,48478086732;404,041803411827;0,0535333048217682;0,00604301072452031;0,00672661076413087;0,0127696214886512
ACRE;[35,40);47777,0000000003;2873,26464858906;2724,66692853206;5597,93157712112;148,597720056998;0,0265451118881696;0,00570288408341261;0,00601390763042685;0,0117167917138395
ACRE;[40,45);39928,0000000005;2209,44412596823;2092,39678877622;4301,84091474444;117,04733719201;0,0272086624102797;0,00524042473646612;0,00553357074225656;0,0107739954787227
ACRE;[45,50);31481,0000000004;1470,15973789631;1503,22162560524;2973,38136350155;-33,061887708923;-0,0111192893433583;0,00477501231093427;0,00466999059082079;0,00944500290175506
ACRE;[50,55);25960,0810033878;1127,14160543878;891,376106503584;2018,51771194236;235,765498935196;0,116801303025637;0,00343364146817285;0,00434182622655026;0,00777546769472311
