"RONDÔNIA" "ACRE" "AMAZONAS" "RORAIMA" "PARÁ" "AMAPÁ" "TOCANTINS" "MARANHÃO" "MATO GROSSO" "OUTROS" "Total"
"RONDÔNIA" 0 1109.17951795439 2122.20378396705 227.600483696267 275.562837304381 0 70.959450010364 101.111852610823 3311.60061714635 6883.87639486238 14102.094937552
"ACRE" 1245.5540447952 0 1164.66593521996 10.3338294163234 68.1731178969254 0 0 24.5275545575652 166.255113642829 820.625037878174 3500.13463340698
"AMAZONAS" 1338.83558673751 1336.62742571955 0 1179.25179587053 3528.23840098337 157.31591299902 22.9925767661777 573.855148829687 370.188194277337 6416.36192725464 14923.6669694378
"RORAIMA" 107.769500338079 0 843.328981996572 0 304.976291950601 13.7776537947359 41.21671430537 404.209731077474 4.640035746938 833.928974555552 2553.84788376532
"PARÁ" 511.51208391077 81.4051522438814 6574.14818752226 1576.83792082455 0 7400.50996324985 4291.38469948687 8954.33049260932 2299.56597037691 19976.5022325724 51666.1967027968
"AMAPÁ" 54.7458163056908 0 121.834919251679 39.4255065584035 2635.02266250875 0 22.5140326259029 319.31982385722 0 1438.40592424702 4631.26868535466
"TOCANTINS" 145.785354040102 0 10.27122763831 26.6085413892655 4691.13786023362 8.4134172124446 0 1534.36026747296 847.577951863229 12781.9186356157 20046.0732554656
"MARANHÃO" 451.187479800207 36.8702529854443 1089.96236578558 927.909480405822 19627.4285666037 857.360205806156 5137.71143801989 0 3794.51038731452 41818.210328109 73741.1505048304
"MATO GROSSO" 3471.7790560697 229.40996573522 283.321073745329 105.262120847683 2485.49779142702 36.8568913259063 730.170803016022 605.90338225264 0 22258.7335737639 30206.9346581835
"OUTROS" 7836.28457530295 1152.8956562195 7041.17299304158 1867.47280715141 16993.4601810035 891.914210114847 10388.4239692036 17311.7388628268 28894.0637946405 944125.847929737 1036503.27497924
"RETORNADO" 2311.47445821259 614.895485298381 2976.72011962542 511.37691759646 8104.39609597184 558.447780239734 2057.06541848237 4985.18857811238 5801.7534554211 174617.034829614 202538.353138574
"NÃO MIGRANTE" 877.839098601105 355.361892002075 976.835894161253 199.892833916969 1228.37447126642 134.831699448526 296.337895790538 347.517575327703 874.799363279768 72150.0659169141 77441.8566407084
"IGNORADO" 294.167349963428 56.2524080177831 407.870589920203 61.1994897499773 639.278696221863 94.935702112743 241.590103385528 671.848776878569 427.832510286783 30497.3483729658 33392.3239995027
"NÃO SABE UF NEM PAIS" 32.3437958831728 7.7498352231849 26.3134212004657 0 44.7515231104726 0 17.952762669639 0 26.0322984187336 802.806379058236 957.950015563904
"NÃO SABE UF" 47.3165717109582 0 0 4.107261299258 68.7904384733837 0 0 15.706866653758 4.6831358436323 824.721825067727 965.326099048717
"Total" 18726.5947716715 4980.64759139941 23638.6494930757 6737.27898872291 60695.0889349558 10154.363436304 23318.3198637623 35849.6189130669 46823.5028282586 1336246.38828222 1567170.45310343
