orig;dest;fluxo
ALTA FLORESTA D'OESTE;ARIQUEMES;24,5004262625034
ALTA FLORESTA D'OESTE;CACOAL;52,6712189432797
ALTA FLORESTA D'OESTE;COLORADO DO OESTE;10,787492794978
ALTA FLORESTA D'OESTE;ESPIGÃO D'OESTE;8,1241109135778
ALTA FLORESTA D'OESTE;NOVA BRASILÂNDIA D'OESTE;9,5279396619912
ALTA FLORESTA D'OESTE;PIMENTA BUENO;27,77953694799
ALTA FLORESTA D'OESTE;PORTO VELHO;9,723885590275
ALTA FLORESTA D'OESTE;ROLIM DE MOURA;63,0324351647101
ALTA FLORESTA D'OESTE;SANTA LUZIA D'OESTE;46,6462758494327
ALTA FLORESTA D'OESTE;VILHENA;85,6649670493516
ALTA FLORESTA D'OESTE;SÃO MIGUEL DO GUAPORÉ;11,0000144058928
ALTA FLORESTA D'OESTE;NOVO HORIZONTE DO OESTE;36,9014456649648
ALTA FLORESTA D'OESTE;SERINGUEIRAS;34,7055378994158
ALTA FLORESTA D'OESTE;RIO BRANCO;32,362478384934
ALTA FLORESTA D'OESTE;OUTROS;149,91707800953
ALTA FLORESTA D'OESTE;IGNORADO;11,0950064715368
ARIQUEMES;ALTA FLORESTA D'OESTE;20,5260340132365
ARIQUEMES;CACOAL;48,5697375802124
ARIQUEMES;COLORADO DO OESTE;10,1614239095414
ARIQUEMES;JARÚ;178,838150968646
ARIQUEMES;JI-PARANÁ;91,7224046092934
ARIQUEMES;MACHADINHO D'OESTE;110,16779778455
ARIQUEMES;OURO PRETO DO OESTE;131,90753212905
ARIQUEMES;PORTO VELHO;207,157388026398
ARIQUEMES;PRESIDENTE MÉDICI;9,6615618292344
ARIQUEMES;RIO CRESPO;36,6715144983315
ARIQUEMES;ROLIM DE MOURA;21,0784112783476
ARIQUEMES;VILHENA;44,80890179513
ARIQUEMES;ALTO PARAÍSO;26,0613007253139
ARIQUEMES;BURITIS;98,0592091221997
ARIQUEMES;CACAULÂNDIA;80,6611822562376
ARIQUEMES;CAMPO NOVO DE RONDÔNIA;11,3997898063519
ARIQUEMES;CANDEIAS DO JAMARI;9,8225045384582
ARIQUEMES;CUJUBIM;11,9729780894868
ARIQUEMES;GOVERNADOR JORGE TEIXEIRA;9,0590821069686
ARIQUEMES;ITAPUÃ DO OESTE;22,522271618964
ARIQUEMES;MIRANTE DA SERRA;12,1460572643354
ARIQUEMES;MONTE NEGRO;15,8852139260571
ARIQUEMES;SÃO FRANCISCO DO GUAPORÉ;28,167965292627
ARIQUEMES;THEOBROMA;55,195291621261
ARIQUEMES;URUPÁ;48,2693445594184
ARIQUEMES;VALE DO PARAÍSO;12,054267480662
ARIQUEMES;RIO BRANCO;73,5174362282777
ARIQUEMES;APUÍ;41,9694335525146
ARIQUEMES;HUMAITÁ;37,1431786133748
ARIQUEMES;NOVO REPARTIMENTO;52,6323754106148
ARIQUEMES;IMPERATRIZ;12,6248865892099
ARIQUEMES;PINHEIRO;9,8333025725474
ARIQUEMES;SÃO LUÍS;11,7087139447238
ARIQUEMES;ARAPUTANGA;8,4807348156626
ARIQUEMES;CÁCERES;29,1996103537159
ARIQUEMES;COLNIZA;11,568413620446
ARIQUEMES;CUIABÁ;11,0523584357515
ARIQUEMES;JUÍNA;11,8347530283361
ARIQUEMES;PONTES E LACERDA;11,1509349263057
ARIQUEMES;RONDONÓPOLIS;13,7038091056
ARIQUEMES;OUTROS;366,242128087178
ARIQUEMES;N�O MIGRANTE;53,2067765663357
ARIQUEMES;IGNORADO;92,1539536917567
ARIQUEMES;N�O SABE MUNIC�PIO;20,6129443716466
ARIQUEMES;N�O SABE UF NEM MUNIC�PIO;13,5773851283297
CABIXI;ARIQUEMES;3,0429951468531
CABIXI;CEREJEIRAS;13,8012705512761
CABIXI;COLORADO DO OESTE;18,9294819251112
CABIXI;CORUMBIARA;3,2925639098387
CABIXI;ESPIGÃO D'OESTE;9,497516046453
CABIXI;JARÚ;13,1001195078452
CABIXI;OURO PRETO DO OESTE;6,1730961114872
CABIXI;VILHENA;46,9492145267133
CABIXI;MANICORÉ;5,245738272125
CABIXI;CASTANHAL;3,6081349071445
CABIXI;COLNIZA;8,1675011619831
CABIXI;JUÍNA;2,9064360831491
CABIXI;OUTROS;26,0990501671799
CABIXI;IGNORADO;11,8773266615667
CACOAL;ALTA FLORESTA D'OESTE;63,2439992444682
CACOAL;ARIQUEMES;51,3218623395275
CACOAL;CEREJEIRAS;44,7528196520234
CACOAL;ESPIGÃO D'OESTE;61,9261557424485
CACOAL;GUAJARÁ-MIRIM;9,9753660157687
CACOAL;JARÚ;9,6534573666299
CACOAL;JI-PARANÁ;111,179899250621
CACOAL;NOVA BRASILÂNDIA D'OESTE;37,920267947522
CACOAL;OURO PRETO DO OESTE;37,8588552896811
CACOAL;PIMENTA BUENO;130,695390803691
CACOAL;PORTO VELHO;116,01171933353
CACOAL;PRESIDENTE MÉDICI;164,989857779424
CACOAL;ROLIM DE MOURA;161,202442622183
CACOAL;VILHENA;85,898233322078
CACOAL;SÃO MIGUEL DO GUAPORÉ;160,012738051267
CACOAL;NOVA MAMORÉ;56,854027921333
CACOAL;ALVORADA D'OESTE;17,6324330064674
CACOAL;ALTO ALEGRE DOS PARECIS;57,0727367868052
CACOAL;BURITIS;126,353371192856
CACOAL;NOVO HORIZONTE DO OESTE;7,5507252620937
CACOAL;CHUPINGUAIA;24,3298760671525
CACOAL;PARECIS;16,8741668712015
