uf_code;rate_2007;rate_2019;change
RO;0,050905897114178165;6,56738391845980e-03;0,870989722394448
AC;0,072583573487031705;1,52885283893395e-02;0,789366551481912
AM;0,056845454545454546;1,57199498117942e-02;0,723461621733989
RR;0,035123543123543120;4,12634508348794e-02;-0,174808893560079
PA;0,010193627786134281;3,72973604298061e-03;0,634111022961430
AP;0,034010937499999998;1,24420549581840e-02;0,634174889822311
TO;0,000211340206185567;1,99100834938985e-05;0,905791312248383
MA;0,001023103340618170;8,70491337688157e-05;0,914916577521661
MT;0,002297602739726028;5,17623070200990e-04;0,774711676108676
