uf_code;ano;age_group;sexo;pop;pop_percent;cases
RR;2007;25-29;Men;18000;0,04195804195804196;1028
RR;2007;25-29;Women;22000;0,05128205128205128;468
RR;2007;30-34;Men;17000;0,03962703962703962;826
RR;2007;30-34;Women;12000;0,02797202797202797;369
RR;2007;35-39;Men;12000;0,02797202797202797;703
RR;2007;35-39;Women;14000;0,03263403263403263;345
RR;2007;40-44;Men;12000;0,02797202797202797;582
RR;2007;40-44;Women;14000;0,03263403263403263;285
RR;2007;45-49;Men;12000;0,02797202797202797;394
RR;2007;45-49;Women;8000;0,01864801864801865;238
RR;2007;50-54;Men;8000;0,01864801864801865;324
RR;2007;50-54;Women;7000;0,01631701631701632;176
RR;2007;55-59;Men;9000;0,02097902097902098;247
RR;2007;55-59;Women;9000;0,02097902097902098;108
RR;2007;60-64;Men;4000;0,00932400932400932;122
RR;2007;60-64;Women;4000;0,00932400932400932;69
RR;2007;65-69;Men;3000;0,00699300699300699;97
RR;2007;65-69;Women;1000;0,00233100233100233;41
RR;2007;70+;Men;6000;0,01398601398601399;75
RR;2007;70+;Women;4000;0,00932400932400932;41
PA;2007;0-4;Men;393000;0,05373991521947218;5744
PA;2007;0-4;Women;348000;0,04758648981266238;5037
PA;2007;5-9;Men;422000;0,05770545603719403;4876
PA;2007;5-9;Women;372000;0,05086831669629427;3858
PA;2007;10-14;Men;436000;0,05961985505264597;4696
PA;2007;10-14;Women;396000;0,05415014357992616;3206
PA;2007;15-19;Men;386000;0,05278271571174620;5771
PA;2007;15-19;Women;394000;0,05387665800629017;2951
PA;2007;20-24;Men;337000;0,04608231915766443;6316
PA;2007;20-24;Women;364000;0,04977437440175031;2822
PA;2007;25-29;Men;327000;0,04471489128948448;5187
PA;2007;25-29;Women;348000;0,04758648981266238;2250
PA;2007;30-34;Men;277000;0,03787775194858471;3983
PA;2007;30-34;Women;286000;0,03910843702994667;1510
PA;2007;35-39;Men;243000;0,03322849719677287;3386
PA;2007;35-39;Women;255000;0,03486941063858882;1375
PA;2007;40-44;Men;200000;0,02734855736359907;2880
PA;2007;40-44;Women;197000;0,02693832900314509;1106
PA;2007;45-49;Men;170000;0,02324627375905921;2121
PA;2007;45-49;Women;168000;0,02297278818542322;837
PA;2007;50-54;Men;139000;0,01900724736770135;1466
PA;2007;50-54;Women;134000;0,01832353343361138;468
PA;2007;55-59;Men;104000;0,01422124982907152;916
PA;2007;55-59;Women;98000;0,01340079310816355;334
PA;2007;60-64;Men;82000;0,01121290851907562;439
PA;2007;60-64;Women;91000;0,01244359360043758;182
PA;2007;65-69;Men;70000;0,00957199507725967;253
PA;2007;65-69;Women;71000;0,00970873786407767;131
PA;2007;70+;Men;94000;0,01285382196089156;293
PA;2007;70+;Women;111000;0,01517844933679748;152
AP;2007;0-4;Men;36000;0,05625000000000000;1011
AP;2007;0-4;Women;34000;0,05312500000000000;1000
AP;2007;5-9;Men;38000;0,05937500000000000;1197
AP;2007;5-9;Women;40000;0,06250000000000000;961
AP;2007;10-14;Men;39000;0,06093750000000000;1402
AP;2007;10-14;Women;38000;0,05937500000000000;956
AP;2007;15-19;Men;34000;0,05312500000000000;1586
AP;2007;15-19;Women;36000;0,05625000000000000;933
AP;2007;20-24;Men;32000;0,05000000000000000;1969
AP;2007;20-24;Women;30000;0,04687500000000000;1038
AP;2007;25-29;Men;26000;0,04062500000000000;1646
AP;2007;25-29;Women;31000;0,04843750000000000;979
AP;2007;30-34;Men;25000;0,03906250000000000;1378
AP;2007;30-34;Women;25000;0,03906250000000000;625
AP;2007;35-39;Men;23000;0,03593750000000000;1078
AP;2007;35-39;Women;27000;0,04218750000000000;492
AP;2007;40-44;Men;16000;0,02500000000000000;865
AP;2007;40-44;Women;15000;0,02343750000000000;376
AP;2007;45-49;Men;12000;0,01875000000000000;559
AP;2007;45-49;Women;15000;0,02343750000000000;276
AP;2007;50-54;Men;11000;0,01718750000000000;407
AP;2007;50-54;Women;9000;0,01406250000000000;203
AP;2007;55-59;Men;8000;0,01250000000000000;265
AP;2007;55-59;Women;8000;0,01250000000000000;91
AP;2007;60-64;Men;5000;0,00781250000000000;147
AP;2007;60-64;Women;5000;0,00781250000000000;69
