"uf" "year_notif" "cruzes" "count" "perc"
"Acre" 2011 "uma cruz" 4899 19.4860984049958
"Acre" 2011 "duas cruzes)" 5203 20.6952786285351
"Acre" 2011 "três cruzes" 201 0.799490871484826
"Acre" 2011 "quatro cruzes" 11 0.0437532317728014
"Acre" 2012 "menor que meia cruz" 10848 36.1768825451878
"Acre" 2012 "meia cruz" 8469 28.243180150737
"Acre" 2012 "uma cruz" 5398 18.0017341425999
"Acre" 2012 "duas cruzes)" 5033 16.7844994330688
"Acre" 2012 "três cruzes" 228 0.760354832255052
"Acre" 2012 "quatro cruzes" 10 0.0333488961515374
"Acre" 2013 "menor que meia cruz" 13947 38.1451193829828
"Acre" 2013 "meia cruz" 11209 30.6566747805158
"Acre" 2013 "uma cruz" 5966 16.3170418182315
"Acre" 2013 "duas cruzes)" 5262 14.3915980636162
"Acre" 2013 "três cruzes" 175 0.47862593332057
"Acre" 2013 "quatro cruzes" 4 0.0109400213330416
"Acre" 2014 "menor que meia cruz" 15466 46.1162298357038
"Acre" 2014 "meia cruz" 7015 20.9171959328503
"Acre" 2014 "uma cruz" 5851 17.4464024808421
"Acre" 2014 "duas cruzes)" 5014 14.9506515192176
"Acre" 2014 "três cruzes" 186 0.554611324805439
"Acre" 2014 "quatro cruzes" 5 0.0149089065807914
"Acre" 2015 "menor que meia cruz" 9772 33.4886908841672
"Acre" 2015 "meia cruz" 6753 23.1425633995888
"Acre" 2015 "uma cruz" 6355 21.7786154900617
"Acre" 2015 "duas cruzes)" 6030 20.6648389307745
"Acre" 2015 "três cruzes" 258 0.884167237834133
"Acre" 2015 "quatro cruzes" 12 0.0411240575736806
"Acre" 2016 "menor que meia cruz" 14219 37.0276815707924
"Acre" 2016 "meia cruz" 8588 22.3640009374756
"Acre" 2016 "uma cruz" 7664 19.9578135986042
"Acre" 2016 "duas cruzes)" 7669 19.9708340928622
"Acre" 2016 "três cruzes" 252 0.656232910601286
"Acre" 2016 "quatro cruzes" 9 0.0234368896643317
"Acre" 2017 "menor que meia cruz" 16429 39.0061492438092
"Acre" 2017 "meia cruz" 8892 21.1116123364752
"Acre" 2017 "uma cruz" 8338 19.7962914599112
"Acre" 2017 "duas cruzes)" 8202 19.4733968042926
"Acre" 2017 "três cruzes" 241 0.572188323559439
"Acre" 2017 "quatro cruzes" 17 0.0403618319523256
"Acre" 2018 "menor que meia cruz" 12333 39.1039665176448
"Acre" 2018 "meia cruz" 6242 19.7913694156441
"Acre" 2018 "uma cruz" 6144 19.480643013412
"Acre" 2018 "duas cruzes)" 6634 21.0342750245728
"Acre" 2018 "três cruzes" 177 0.561209930562161
"Acre" 2018 "quatro cruzes" 9 0.0285360981641777
"Acre" 2019 "menor que meia cruz" 5626 38.2825258573762
"Acre" 2019 "meia cruz" 2840 19.3249863908547
"Acre" 2019 "uma cruz" 2938 19.9918345127926
"Acre" 2019 "duas cruzes)" 3194 21.7338051170386
"Acre" 2019 "três cruzes" 95 0.646434403919434
"Acre" 2019 "quatro cruzes" 3 0.0204137180185084
"Amazonas" 2007 "menor que meia cruz" 64772 26.823480691583
"Amazonas" 2007 "meia cruz" 42851 17.7455223107982
"Amazonas" 2007 "uma cruz" 55498 22.9829174862822
"Amazonas" 2007 "duas cruzes)" 72469 30.0109742209338
"Amazonas" 2007 "três cruzes" 5673 2.34931152293198
"Amazonas" 2007 "quatro cruzes" 212 0.0877937674707527
"Amazonas" 2008 "menor que meia cruz" 45134 27.5007768753161
"Amazonas" 2008 "meia cruz" 29103 17.7328645677831
"Amazonas" 2008 "uma cruz" 37893 23.0887343939459
"Amazonas" 2008 "duas cruzes)" 47831 29.1440966615687
"Amazonas" 2008 "três cruzes" 4086 2.48965689530158
"Amazonas" 2008 "quatro cruzes" 72 0.0438706060846093
"Amazonas" 2009 "menor que meia cruz" 31379 26.5505220584502
"Amazonas" 2009 "meia cruz" 20904 17.6873741390689
"Amazonas" 2009 "uma cruz" 26449 22.3791311999729
"Amazonas" 2009 "duas cruzes)" 36515 30.8962144416428
"Amazonas" 2009 "três cruzes" 2823 2.38860778772443
"Amazonas" 2009 "quatro cruzes" 116 0.0981503731406427
