"MUN_INFE" "year_notif" "municipio" "uf" "count_falciparum" "perc_falciparum" "count" "pro_tratamento"
110013 2014 "Machadinho DOeste" "Rondônia" 2 0.00470588235294118 340 0.8
110013 2015 "Machadinho DOeste" "Rondônia" 3 0.00336700336700337 665 0.74635241301908
110013 2016 "Machadinho DOeste" "Rondônia" 3 0.00175131348511384 1340 0.78225335668418
110013 2017 "Machadinho DOeste" "Rondônia" 2 0.00196850393700787 755 0.743110236220472
110013 2018 "Machadinho DOeste" "Rondônia" 21 0.0497630331753555 278 0.658767772511848
110013 2019 "Machadinho DOeste" "Rondônia" 55 0.114107883817427 371 0.769709543568465
110014 2007 "Nova Brasilândia DOeste" "Rondônia" 30 0.178571428571429 78 0.464285714285714
110014 2008 "Nova Brasilândia DOeste" "Rondônia" 2 0.0714285714285714 12 0.428571428571429
110014 2009 "Nova Brasilândia DOeste" "Rondônia" 27 0.402985074626866 28 0.417910447761194
110014 2010 "Nova Brasilândia DOeste" "Rondônia" 29 0.381578947368421 22 0.289473684210526
110014 2011 "Nova Brasilândia DOeste" "Rondônia" 1 0.0526315789473684 6 0.315789473684211
110014 2013 "Nova Brasilândia DOeste" "Rondônia" 1 0.2 2 0.4
110014 2014 "Nova Brasilândia DOeste" "Rondônia" 1 0.2 1 0.2
110014 2015 "Nova Brasilândia DOeste" "Rondônia" 1 1 1 1
110015 2007 "Ouro Preto do Oeste" "Rondônia" 4 0.129032258064516 21 0.67741935483871
110015 2008 "Ouro Preto do Oeste" "Rondônia" 3 0.0967741935483871 18 0.580645161290323
110015 2009 "Ouro Preto do Oeste" "Rondônia" 1 0.1 5 0.5
110015 2010 "Ouro Preto do Oeste" "Rondônia" 1 0.0909090909090909 6 0.545454545454545
110015 2016 "Ouro Preto do Oeste" "Rondônia" 1 0.0454545454545455 7 0.318181818181818
110015 2017 "Ouro Preto do Oeste" "Rondônia" 1 0.5 1 0.5
110018 2007 "Pimenta Bueno" "Rondônia" 2 0.111111111111111 10 0.555555555555556
110018 2008 "Pimenta Bueno" "Rondônia" 2 0.0714285714285714 11 0.392857142857143
110018 2009 "Pimenta Bueno" "Rondônia" 2 0.0151515151515152 32 0.242424242424242
110018 2010 "Pimenta Bueno" "Rondônia" 3 0.0714285714285714 15 0.357142857142857
110020 2007 "Porto Velho" "Rondônia" 8048 0.17477035331929 26941 0.585050706855741
110020 2008 "Porto Velho" "Rondônia" 3340 0.11608508271931 17083 0.593736966495204
