"MUN_INFE" "year_notif" "municipio" "uf" "count_vivax" "total" "perc_vivax"
120040 2015 "Rio Branco" "Acre" 95 100 0.95
120040 2016 "Rio Branco" "Acre" 139 143 0.972027972027972
120040 2017 "Rio Branco" "Acre" 155 161 0.962732919254658
120040 2018 "Rio Branco" "Acre" 112 117 0.957264957264957
120040 2019 "Rio Branco" "Acre" 116 126 0.920634920634921
120042 2007 "Rodrigues Alves" "Acre" 6836 8543 0.800187287837996
120042 2008 "Rodrigues Alves" "Acre" 2825 3385 0.834564254062038
120042 2009 "Rodrigues Alves" "Acre" 2131 2470 0.862753036437247
120042 2010 "Rodrigues Alves" "Acre" 4351 4783 0.90968011708133
120042 2011 "Rodrigues Alves" "Acre" 3394 4190 0.810023866348449
120042 2012 "Rodrigues Alves" "Acre" 2821 4136 0.68205996131528
120042 2013 "Rodrigues Alves" "Acre" 2615 3964 0.659687184661958
120042 2014 "Rodrigues Alves" "Acre" 3576 5548 0.644556596971882
120042 2015 "Rodrigues Alves" "Acre" 4518 5838 0.773895169578623
120042 2016 "Rodrigues Alves" "Acre" 4877 6820 0.715102639296188
120042 2017 "Rodrigues Alves" "Acre" 3961 5304 0.746794871794872
120042 2018 "Rodrigues Alves" "Acre" 3704 4898 0.756227031441405
120042 2019 "Rodrigues Alves" "Acre" 1645 2554 0.644087705559906
120043 2010 "Santa Rosa do Purus" "Acre" 1 1 1
120043 2012 "Santa Rosa do Purus" "Acre" 3 3 1
120043 2014 "Santa Rosa do Purus" "Acre" 3 3 1
120043 2015 "Santa Rosa do Purus" "Acre" 1 1 1
120043 2016 "Santa Rosa do Purus" "Acre" 1 1 1
120043 2019 "Santa Rosa do Purus" "Acre" 2 2 1
120045 2007 "Senador Guiomard" "Acre" 950 1261 0.753370340999207
120045 2008 "Senador Guiomard" "Acre" 415 557 0.745062836624776
120045 2009 "Senador Guiomard" "Acre" 103 111 0.927927927927928
120045 2010 "Senador Guiomard" "Acre" 157 160 0.98125
120045 2011 "Senador Guiomard" "Acre" 38 38 1
120045 2012 "Senador Guiomard" "Acre" 122 122 1
120045 2013 "Senador Guiomard" "Acre" 87 90 0.966666666666667
120045 2014 "Senador Guiomard" "Acre" 73 77 0.948051948051948
120045 2015 "Senador Guiomard" "Acre" 167 168 0.994047619047619
120045 2016 "Senador Guiomard" "Acre" 243 243 1
120045 2017 "Senador Guiomard" "Acre" 198 202 0.98019801980198
120045 2018 "Senador Guiomard" "Acre" 292 293 0.996587030716723
120045 2019 "Senador Guiomard" "Acre" 296 429 0.68997668997669
120050 2007 "Sena Madureira" "Acre" 11 13 0.846153846153846
120050 2008 "Sena Madureira" "Acre" 17 18 0.944444444444444
120050 2009 "Sena Madureira" "Acre" 3 3 1
120050 2010 "Sena Madureira" "Acre" 6 6 1
120050 2011 "Sena Madureira" "Acre" 3 3 1
120050 2012 "Sena Madureira" "Acre" 3 4 0.75
120050 2013 "Sena Madureira" "Acre" 4 4 1
120050 2014 "Sena Madureira" "Acre" 6 6 1
120050 2015 "Sena Madureira" "Acre" 4 5 0.8
120050 2016 "Sena Madureira" "Acre" 2 2 1
120050 2017 "Sena Madureira" "Acre" 4 4 1
120060 2007 "Tarauacá" "Acre" 1829 2184 0.837454212454212
120060 2008 "Tarauacá" "Acre" 2158 2647 0.815262561390253
120060 2009 "Tarauacá" "Acre" 2106 2743 0.767772511848341
120060 2010 "Tarauacá" "Acre" 2398 3213 0.746342981637099
120060 2011 "Tarauacá" "Acre" 538 644 0.835403726708075
120060 2012 "Tarauacá" "Acre" 940 1113 0.844564240790656
