mun;ano;group;qtdp;n;p
110001;2007;Autóctone;<200;56;2,23107569721116e-01
110001;2007;Autóctone;200-300;47;1,87250996015936e-01
110001;2007;Autóctone;300-500;81;3,22709163346614e-01
110001;2007;Autóctone;500-10k;50;1,99203187250996e-01
110001;2007;Autóctone;10k-100k;17;6,77290836653386e-02
110001;2007;Importado;<200;3;2,14285714285714e-01
110001;2007;Importado;200-300;4;2,85714285714286e-01
110001;2007;Importado;300-500;5;3,57142857142857e-01
110001;2007;Importado;500-10k;2;1,42857142857143e-01
110001;2008;Autóctone;<200;84;3,25581395348837e-01
110001;2008;Autóctone;200-300;44;1,70542635658915e-01
110001;2008;Autóctone;300-500;52;2,01550387596899e-01
110001;2008;Autóctone;500-10k;68;2,63565891472868e-01
110001;2008;Autóctone;10k-100k;10;3,87596899224806e-02
110001;2008;Importado;<200;1;2,50000000000000e-01
110001;2008;Importado;200-300;2;5,00000000000000e-01
110001;2008;Importado;500-10k;1;2,50000000000000e-01
110001;2009;Autóctone;<200;23;2,77108433734940e-01
110001;2009;Autóctone;200-300;14;1,68674698795181e-01
110001;2009;Autóctone;300-500;38;4,57831325301205e-01
110001;2009;Autóctone;500-10k;8;9,63855421686747e-02
110001;2009;Importado;<200;3;1,87500000000000e-01
110001;2009;Importado;200-300;2;1,25000000000000e-01
110001;2009;Importado;300-500;4;2,50000000000000e-01
110001;2009;Importado;500-10k;7;4,37500000000000e-01
110001;2010;Autóctone;<200;6;1,81818181818182e-01
110001;2010;Autóctone;200-300;2;6,06060606060606e-02
110001;2010;Autóctone;300-500;12;3,63636363636364e-01
110001;2010;Autóctone;500-10k;13;3,93939393939394e-01
110001;2010;Importado;<200;2;5,00000000000000e-02
110001;2010;Importado;200-300;4;1,00000000000000e-01
110001;2010;Importado;300-500;15;3,75000000000000e-01
110001;2010;Importado;500-10k;15;3,75000000000000e-01
110001;2010;Importado;10k-100k;4;1,00000000000000e-01
110001;2010;NA;300-500;2;1,00000000000000e+00
110001;2011;Autóctone;300-500;6;5,45454545454545e-01
110001;2011;Autóctone;500-10k;4;3,63636363636364e-01
110001;2011;Autóctone;10k-100k;1;9,09090909090909e-02
110001;2011;Importado;200-300;3;8,33333333333333e-02
110001;2011;Importado;300-500;29;8,05555555555556e-01
110001;2011;Importado;500-10k;3;8,33333333333333e-02
110001;2011;Importado;10k-100k;1;2,77777777777778e-02
110001;2011;NA;300-500;2;6,66666666666667e-01
110001;2011;NA;500-10k;1;3,33333333333333e-01
110001;2012;Autóctone;200-300;3;9,37500000000000e-02
110001;2012;Autóctone;300-500;13;4,06250000000000e-01
110001;2012;Autóctone;500-10k;13;4,06250000000000e-01
110001;2012;Autóctone;10k-100k;2;6,25000000000000e-02
110001;2012;Autóctone;>100k;1;3,12500000000000e-02
110001;2012;Importado;<200;1;3,84615384615385e-02
110001;2012;Importado;200-300;3;1,15384615384615e-01
110001;2012;Importado;300-500;10;3,84615384615385e-01
110001;2012;Importado;500-10k;8;3,07692307692308e-01
110001;2012;Importado;10k-100k;4;1,53846153846154e-01
110001;2012;NA;300-500;1;2,50000000000000e-01
110001;2012;NA;500-10k;3;7,50000000000000e-01
110001;2013;Autóctone;<200;8;1,03896103896104e-01
110001;2013;Autóctone;200-300;3;3,89610389610390e-02
110001;2013;Autóctone;300-500;43;5,58441558441558e-01
110001;2013;Autóctone;500-10k;20;2,59740259740260e-01
110001;2013;Autóctone;10k-100k;2;2,59740259740260e-02
110001;2013;Autóctone;>100k;1;1,29870129870130e-02
110001;2013;Importado;300-500;4;5,71428571428571e-01
110001;2013;Importado;500-10k;3;4,28571428571429e-01
110001;2013;NA;<200;2;1,25000000000000e-01
110001;2013;NA;200-300;1;6,25000000000000e-02
110001;2013;NA;300-500;6;3,75000000000000e-01
110001;2013;NA;500-10k;7;4,37500000000000e-01
110001;2014;Autóctone;<200;11;1,15789473684211e-01
110001;2014;Autóctone;200-300;8;8,42105263157895e-02
110001;2014;Autóctone;300-500;47;4,94736842105263e-01
110001;2014;Autóctone;500-10k;27;2,84210526315789e-01
110001;2014;Autóctone;10k-100k;1;1,05263157894737e-02
110001;2014;Autóctone;NA;1;1,05263157894737e-02
110001;2014;Importado;300-500;3;7,50000000000000e-01
110001;2014;Importado;500-10k;1;2,50000000000000e-01
110001;2014;NA;300-500;3;5,00000000000000e-01
110001;2014;NA;500-10k;2;3,33333333333333e-01
110001;2014;NA;10k-100k;1;1,66666666666667e-01
110001;2015;Autóctone;<200;2;5,40540540540541e-02
110001;2015;Autóctone;200-300;1;2,70270270270270e-02
110001;2015;Autóctone;300-500;20;5,40540540540541e-01
110001;2015;Autóctone;500-10k;12;3,24324324324324e-01
110001;2015;Autóctone;10k-100k;1;2,70270270270270e-02
110001;2015;Autóctone;NA;1;2,70270270270270e-02
110001;2015;Importado;500-10k;1;1,00000000000000e+00
110001;2015;NA;300-500;6;6,00000000000000e-01
110001;2015;NA;500-10k;4;4,00000000000000e-01
110001;2016;Autóctone;<200;1;1,66666666666667e-01
110001;2016;Autóctone;200-300;1;1,66666666666667e-01
110001;2016;Autóctone;300-500;4;6,66666666666667e-01
110001;2016;Importado;200-300;2;2,85714285714286e-01
110001;2016;Importado;300-500;5;7,14285714285714e-01
110001;2016;NA;300-500;2;5,00000000000000e-01
110001;2016;NA;500-10k;2;5,00000000000000e-01
110001;2017;Autóctone;200-300;1;1,00000000000000e+00
110001;2017;Importado;<200;1;1,66666666666667e-01
110001;2017;Importado;200-300;1;1,66666666666667e-01
110001;2017;Importado;300-500;2;3,33333333333333e-01
110001;2017;Importado;500-10k;2;3,33333333333333e-01
110001;2017;NA;300-500;2;5,00000000000000e-01
110001;2017;NA;500-10k;2;5,00000000000000e-01
110001;2018;Importado;500-10k;1;1,00000000000000e+00
110001;2019;Importado;300-500;1;5,00000000000000e-01
110001;2019;Importado;500-10k;1;5,00000000000000e-01
110001;2020;Importado;300-500;2;4,00000000000000e-01
110001;2020;Importado;10k-100k;2;4,00000000000000e-01
110001;2020;Importado;NA;1;2,00000000000000e-01
110002;2007;Autóctone;<200;406;1,87789084181314e-01
110002;2007;Autóctone;200-300;329;1,52173913043478e-01
110002;2007;Autóctone;300-500;621;2,87234042553192e-01
110002;2007;Autóctone;500-10k;776;3,58926919518964e-01
110002;2007;Autóctone;10k-100k;30;1,38760407030527e-02
110002;2007;Importado;<200;839;2,31767955801105e-01
110002;2007;Importado;200-300;552;1,52486187845304e-01
110002;2007;Importado;300-500;975;2,69337016574586e-01
110002;2007;Importado;500-10k;1201;3,31767955801105e-01
110002;2007;Importado;10k-100k;50;1,38121546961326e-02
110002;2007;Importado;>100k;3;8,28729281767956e-04
110002;2007;NA;<200;1;5,00000000000000e-01
110002;2007;NA;200-300;1;5,00000000000000e-01
110002;2008;Autóctone;<200;203;1,63709677419355e-01
110002;2008;Autóctone;200-300;116;9,35483870967742e-02
110002;2008;Autóctone;300-500;382;3,08064516129032e-01
110002;2008;Autóctone;500-10k;524;4,22580645161290e-01
110002;2008;Autóctone;10k-100k;15;1,20967741935484e-02
110002;2008;Importado;<200;502;2,16940363007779e-01
110002;2008;Importado;200-300;186;8,03802938634399e-02
110002;2008;Importado;300-500;683;2,95159896283492e-01
110002;2008;Importado;500-10k;899;3,88504753673293e-01
110002;2008;Importado;10k-100k;44;1,90146931719965e-02
110002;2008;NA;<200;2;6,66666666666667e-01
110002;2008;NA;500-10k;1;3,33333333333333e-01
110002;2009;Autóctone;<200;176;1,66666666666667e-01
110002;2009;Autóctone;200-300;118;1,11742424242424e-01
110002;2009;Autóctone;300-500;300;2,84090909090909e-01
110002;2009;Autóctone;500-10k;446;4,22348484848485e-01
110002;2009;Autóctone;10k-100k;15;1,42045454545455e-02
110002;2009;Autóctone;>100k;1;9,46969696969697e-04
110002;2009;Importado;<200;400;2,21361372440509e-01
110002;2009;Importado;200-300;221;1,22302158273381e-01
110002;2009;Importado;300-500;430;2,37963475373547e-01
110002;2009;Importado;500-10k;710;3,92916436081904e-01
110002;2009;Importado;10k-100k;45;2,49031543995573e-02
110002;2009;Importado;>100k;1;5,53403431101273e-04
110002;2009;NA;<200;1;3,33333333333333e-01
110002;2009;NA;300-500;1;3,33333333333333e-01
110002;2009;NA;500-10k;1;3,33333333333333e-01
110002;2010;Autóctone;<200;162;1,27358490566038e-01
110002;2010;Autóctone;200-300;149;1,17138364779874e-01
110002;2010;Autóctone;300-500;423;3,32547169811321e-01
110002;2010;Autóctone;500-10k;514;4,04088050314465e-01
110002;2010;Autóctone;10k-100k;24;1,88679245283019e-02
110002;2010;Importado;<200;307;1,80270111567821e-01
110002;2010;Importado;200-300;186;1,09219025249560e-01
110002;2010;Importado;300-500;501;2,94186729301233e-01
110002;2010;Importado;500-10k;665;3,90487375220200e-01
110002;2010;Importado;10k-100k;44;2,58367586611861e-02
110002;2010;NA;300-500;2;5,00000000000000e-01
110002;2010;NA;500-10k;2;5,00000000000000e-01
110002;2011;Autóctone;<200;63;1,27016129032258e-01
110002;2011;Autóctone;200-300;44;8,87096774193548e-02
110002;2011;Autóctone;300-500;176;3,54838709677419e-01
110002;2011;Autóctone;500-10k;200;4,03225806451613e-01
110002;2011;Autóctone;10k-100k;13;2,62096774193548e-02
110002;2011;Importado;<200;169;1,31313131313131e-01
110002;2011;Importado;200-300;181;1,40637140637141e-01
110002;2011;Importado;300-500;392;3,04584304584305e-01
110002;2011;Importado;500-10k;505;3,92385392385392e-01
110002;2011;Importado;10k-100k;40;3,10800310800311e-02
110002;2012;Autóctone;<200;22;1,47651006711409e-01
110002;2012;Autóctone;200-300;8;5,36912751677852e-02
110002;2012;Autóctone;300-500;44;2,95302013422819e-01
110002;2012;Autóctone;500-10k;72;4,83221476510067e-01
110002;2012;Autóctone;10k-100k;2;1,34228187919463e-02
110002;2012;Autóctone;NA;1;6,71140939597315e-03
110002;2012;Importado;<200;115;1,69117647058824e-01
110002;2012;Importado;200-300;58;8,52941176470588e-02
110002;2012;Importado;300-500;189;2,77941176470588e-01
110002;2012;Importado;500-10k;300;4,41176470588235e-01
110002;2012;Importado;10k-100k;18;2,64705882352941e-02
110002;2012;NA;<200;1;3,33333333333333e-01
110002;2012;NA;500-10k;2;6,66666666666667e-01
110002;2013;Autóctone;<200;19;1,69642857142857e-01
110002;2013;Autóctone;200-300;8;7,14285714285714e-02
110002;2013;Autóctone;300-500;36;3,21428571428571e-01
110002;2013;Autóctone;500-10k;45;4,01785714285714e-01
110002;2013;Autóctone;10k-100k;3;2,67857142857143e-02
110002;2013;Autóctone;NA;1;8,92857142857143e-03
110002;2013;Importado;<200;84;1,79871520342612e-01
110002;2013;Importado;200-300;12;2,56959314775161e-02
110002;2013;Importado;300-500;162;3,46895074946467e-01
110002;2013;Importado;500-10k;198;4,23982869379015e-01
110002;2013;Importado;10k-100k;8;1,71306209850107e-02
110002;2013;Importado;>100k;3;6,42398286937901e-03
110002;2013;NA;<200;1;5,55555555555556e-02
110002;2013;NA;200-300;1;5,55555555555556e-02
110002;2013;NA;300-500;6;3,33333333333333e-01
110002;2013;NA;500-10k;10;5,55555555555556e-01
110002;2014;Autóctone;<200;12;1,50000000000000e-01
110002;2014;Autóctone;200-300;6;7,50000000000000e-02
110002;2014;Autóctone;300-500;29;3,62500000000000e-01
110002;2014;Autóctone;500-10k;31;3,87500000000000e-01
110002;2014;Autóctone;NA;2;2,50000000000000e-02
110002;2014;Importado;<200;26;1,15555555555556e-01
110002;2014;Importado;200-300;14;6,22222222222222e-02
110002;2014;Importado;300-500;64;2,84444444444444e-01
110002;2014;Importado;500-10k;114;5,06666666666667e-01
110002;2014;Importado;10k-100k;7;3,11111111111111e-02
110002;2014;NA;<200;1;5,00000000000000e-01
110002;2014;NA;300-500;1;5,00000000000000e-01
110002;2015;Autóctone;<200;5;1,19047619047619e-01
110002;2015;Autóctone;200-300;1;2,38095238095238e-02
110002;2015;Autóctone;300-500;12;2,85714285714286e-01
110002;2015;Autóctone;500-10k;23;5,47619047619048e-01
110002;2015;Autóctone;10k-100k;1;2,38095238095238e-02
110002;2015;Importado;<200;11;7,97101449275362e-02
110002;2015;Importado;200-300;12;8,69565217391304e-02
110002;2015;Importado;300-500;36;2,60869565217391e-01
110002;2015;Importado;500-10k;76;5,50724637681159e-01
110002;2015;Importado;10k-100k;3;2,17391304347826e-02
110002;2016;Autóctone;<200;13;1,11111111111111e-01
110002;2016;Autóctone;200-300;3;2,56410256410256e-02
110002;2016;Autóctone;300-500;25;2,13675213675214e-01
110002;2016;Autóctone;500-10k;75;6,41025641025641e-01
110002;2016;Autóctone;NA;1;8,54700854700855e-03
110002;2016;Importado;<200;60;1,66204986149584e-01
110002;2016;Importado;200-300;12;3,32409972299169e-02
110002;2016;Importado;300-500;124;3,43490304709141e-01
110002;2016;Importado;500-10k;161;4,45983379501385e-01
110002;2016;Importado;10k-100k;4;1,10803324099723e-02
110002;2017;Autóctone;<200;19;1,62393162393162e-01
110002;2017;Autóctone;200-300;8;6,83760683760684e-02
110002;2017;Autóctone;300-500;28;2,39316239316239e-01
110002;2017;Autóctone;500-10k;61;5,21367521367521e-01
110002;2017;Autóctone;10k-100k;1;8,54700854700855e-03
110002;2017;Importado;<200;95;1,88118811881188e-01
110002;2017;Importado;200-300;25;4,95049504950495e-02
110002;2017;Importado;300-500;143;2,83168316831683e-01
110002;2017;Importado;500-10k;237;4,69306930693069e-01
110002;2017;Importado;10k-100k;5;9,90099009900990e-03
110002;2018;Autóctone;<200;204;2,29729729729730e-01
110002;2018;Autóctone;200-300;93;1,04729729729730e-01
110002;2018;Autóctone;300-500;205;2,30855855855856e-01
110002;2018;Autóctone;500-10k;379;4,26801801801802e-01
110002;2018;Autóctone;10k-100k;7;7,88288288288288e-03
110002;2018;Importado;<200;102;1,65048543689320e-01
110002;2018;Importado;200-300;57;9,22330097087379e-02
110002;2018;Importado;300-500;154;2,49190938511327e-01
110002;2018;Importado;500-10k;298;4,82200647249191e-01
110002;2018;Importado;10k-100k;6;9,70873786407767e-03
110002;2018;Importado;>100k;1;1,61812297734628e-03
110002;2018;NA;500-10k;1;1,00000000000000e+00
110002;2019;Autóctone;<200;91;2,31552162849873e-01
110002;2019;Autóctone;200-300;47;1,19592875318066e-01
110002;2019;Autóctone;300-500;121;3,07888040712468e-01
110002;2019;Autóctone;500-10k;133;3,38422391857506e-01
110002;2019;Autóctone;10k-100k;1;2,54452926208651e-03
110002;2019;Importado;<200;71;1,57777777777778e-01
110002;2019;Importado;200-300;46;1,02222222222222e-01
110002;2019;Importado;300-500;150;3,33333333333333e-01
110002;2019;Importado;500-10k;180;4,00000000000000e-01
110002;2019;Importado;10k-100k;3;6,66666666666667e-03
110002;2020;Autóctone;<200;21;1,46853146853147e-01
110002;2020;Autóctone;200-300;8;5,59440559440559e-02
110002;2020;Autóctone;300-500;33;2,30769230769231e-01
110002;2020;Autóctone;500-10k;52;3,63636363636364e-01
110002;2020;Autóctone;10k-100k;3;2,09790209790210e-02
110002;2020;Autóctone;NA;26;1,81818181818182e-01
110002;2020;Importado;<200;12;1,23711340206186e-01
110002;2020;Importado;200-300;8;8,24742268041237e-02
110002;2020;Importado;300-500;33;3,40206185567010e-01
110002;2020;Importado;500-10k;42;4,32989690721650e-01
110002;2020;Importado;10k-100k;1;1,03092783505155e-02
110002;2020;Importado;NA;1;1,03092783505155e-02
110003;2007;Autóctone;300-500;3;6,00000000000000e-01
110003;2007;Autóctone;500-10k;2;4,00000000000000e-01
110003;2007;Importado;<200;3;1,87500000000000e-01
110003;2007;Importado;200-300;1;6,25000000000000e-02
110003;2007;Importado;500-10k;10;6,25000000000000e-01
110003;2007;Importado;10k-100k;1;6,25000000000000e-02
110003;2007;Importado;>100k;1;6,25000000000000e-02
110003;2008;Importado;<200;1;1,66666666666667e-01
110003;2008;Importado;300-500;3;5,00000000000000e-01
110003;2008;Importado;500-10k;2;3,33333333333333e-01
110003;2008;NA;300-500;1;1,00000000000000e+00
110003;2009;Importado;<200;1;1,11111111111111e-01
110003;2009;Importado;200-300;1;1,11111111111111e-01
110003;2009;Importado;300-500;1;1,11111111111111e-01
110003;2009;Importado;500-10k;5;5,55555555555556e-01
110003;2009;Importado;10k-100k;1;1,11111111111111e-01
110003;2010;Autóctone;<200;1;5,00000000000000e-01
110003;2010;Autóctone;300-500;1;5,00000000000000e-01
110003;2010;Importado;<200;1;5,00000000000000e-01
110003;2010;Importado;10k-100k;1;5,00000000000000e-01
110003;2011;Importado;<200;2;6,66666666666667e-01
110003;2011;Importado;300-500;1;3,33333333333333e-01
110003;2012;Importado;200-300;1;5,00000000000000e-01
110003;2012;Importado;300-500;1;5,00000000000000e-01
110003;2013;Importado;300-500;1;3,33333333333333e-01
110003;2013;Importado;500-10k;2;6,66666666666667e-01
110003;2014;Importado;300-500;1;5,00000000000000e-01
110003;2014;Importado;500-10k;1;5,00000000000000e-01
110003;2016;Autóctone;500-10k;4;1,00000000000000e+00
110003;2016;Importado;500-10k;1;1,00000000000000e+00
110003;2017;Autóctone;500-10k;1;1,00000000000000e+00
110003;2018;Importado;<200;1;1,66666666666667e-01
110003;2018;Importado;200-300;1;1,66666666666667e-01
110003;2018;Importado;300-500;4;6,66666666666667e-01
110003;2019;Importado;<200;2;2,50000000000000e-01
110003;2019;Importado;300-500;4;5,00000000000000e-01
110003;2019;Importado;500-10k;1;1,25000000000000e-01
110003;2019;Importado;10k-100k;1;1,25000000000000e-01
110003;2020;Importado;<200;1;1,00000000000000e+00
110004;2007;Autóctone;<200;1;3,57142857142857e-02
110004;2007;Autóctone;200-300;5;1,78571428571429e-01
110004;2007;Autóctone;300-500;11;3,92857142857143e-01
110004;2007;Autóctone;500-10k;10;3,57142857142857e-01
110004;2007;Autóctone;10k-100k;1;3,57142857142857e-02
110004;2007;Importado;<200;31;7,02947845804989e-02
110004;2007;Importado;200-300;75;1,70068027210884e-01
110004;2007;Importado;300-500;125;2,83446712018141e-01
110004;2007;Importado;500-10k;169;3,83219954648526e-01
110004;2007;Importado;10k-100k;39;8,84353741496599e-02
110004;2007;Importado;>100k;2;4,53514739229025e-03
110004;2007;NA;500-10k;1;1,00000000000000e+00
110004;2008;Autóctone;300-500;2;2,00000000000000e-01
110004;2008;Autóctone;500-10k;7;7,00000000000000e-01
110004;2008;Autóctone;10k-100k;1;1,00000000000000e-01
110004;2008;Importado;<200;98;1,12514351320321e-01
110004;2008;Importado;200-300;130;1,49253731343284e-01
110004;2008;Importado;300-500;172;1,97474167623421e-01
110004;2008;Importado;500-10k;379;4,35132032146958e-01
110004;2008;Importado;10k-100k;91;1,04477611940299e-01
110004;2008;Importado;>100k;1;1,14810562571757e-03
110004;2009;Autóctone;<200;1;1,66666666666667e-01
110004;2009;Autóctone;300-500;1;1,66666666666667e-01
110004;2009;Autóctone;500-10k;4;6,66666666666667e-01
110004;2009;Importado;<200;141;1,52597402597403e-01
110004;2009;Importado;200-300;174;1,88311688311688e-01
110004;2009;Importado;300-500;184;1,99134199134199e-01
110004;2009;Importado;500-10k;371;4,01515151515151e-01
110004;2009;Importado;10k-100k;52;5,62770562770563e-02
110004;2009;Importado;>100k;2;2,16450216450216e-03
110004;2010;Autóctone;300-500;2;6,66666666666667e-01
110004;2010;Autóctone;500-10k;1;3,33333333333333e-01
110004;2010;Importado;<200;122;1,62666666666667e-01
110004;2010;Importado;200-300;127;1,69333333333333e-01
110004;2010;Importado;300-500;189;2,52000000000000e-01
110004;2010;Importado;500-10k;280;3,73333333333333e-01
110004;2010;Importado;10k-100k;23;3,06666666666667e-02
110004;2010;Importado;>100k;9;1,20000000000000e-02
110004;2010;NA;300-500;1;3,33333333333333e-01
110004;2010;NA;500-10k;2;6,66666666666667e-01
110004;2011;Autóctone;300-500;2;5,00000000000000e-01
110004;2011;Autóctone;500-10k;2;5,00000000000000e-01
110004;2011;Importado;<200;14;9,92907801418440e-02
110004;2011;Importado;200-300;21;1,48936170212766e-01
110004;2011;Importado;300-500;55;3,90070921985816e-01
110004;2011;Importado;500-10k;48;3,40425531914894e-01
110004;2011;Importado;10k-100k;3;2,12765957446809e-02
110004;2011;NA;<200;1;2,00000000000000e-01
110004;2011;NA;200-300;3;6,00000000000000e-01
110004;2011;NA;300-500;1;2,00000000000000e-01
110004;2012;Autóctone;<200;1;2,00000000000000e-01
110004;2012;Autóctone;300-500;1;2,00000000000000e-01
110004;2012;Autóctone;500-10k;3;6,00000000000000e-01
110004;2012;Importado;<200;8;1,17647058823529e-01
110004;2012;Importado;200-300;10;1,47058823529412e-01
110004;2012;Importado;300-500;20;2,94117647058824e-01
110004;2012;Importado;500-10k;28;4,11764705882353e-01
110004;2012;Importado;10k-100k;2;2,94117647058824e-02
110004;2012;NA;300-500;1;1,00000000000000e+00
110004;2013;Importado;<200;8;1,31147540983607e-01
110004;2013;Importado;200-300;9;1,47540983606557e-01
110004;2013;Importado;300-500;22;3,60655737704918e-01
110004;2013;Importado;500-10k;20;3,27868852459016e-01
110004;2013;Importado;10k-100k;2;3,27868852459016e-02
110004;2013;NA;500-10k;2;1,00000000000000e+00
110004;2014;Autóctone;300-500;1;3,33333333333333e-01
110004;2014;Autóctone;500-10k;2;6,66666666666667e-01
110004;2014;Importado;<200;8;1,31147540983607e-01
110004;2014;Importado;200-300;11;1,80327868852459e-01
110004;2014;Importado;300-500;22;3,60655737704918e-01
110004;2014;Importado;500-10k;19;3,11475409836066e-01
110004;2014;Importado;10k-100k;1;1,63934426229508e-02
110004;2015;Importado;<200;8;1,06666666666667e-01
110004;2015;Importado;200-300;7;9,33333333333333e-02
110004;2015;Importado;300-500;25;3,33333333333333e-01
110004;2015;Importado;500-10k;34;4,53333333333333e-01
110004;2015;Importado;10k-100k;1;1,33333333333333e-02
110004;2016;Importado;<200;1;2,56410256410256e-02
110004;2016;Importado;200-300;3;7,69230769230769e-02
110004;2016;Importado;300-500;19;4,87179487179487e-01
110004;2016;Importado;500-10k;15;3,84615384615385e-01
110004;2016;Importado;10k-100k;1;2,56410256410256e-02
110004;2017;Importado;<200;2;8,00000000000000e-02
110004;2017;Importado;200-300;3;1,20000000000000e-01
110004;2017;Importado;300-500;8;3,20000000000000e-01
110004;2017;Importado;500-10k;12;4,80000000000000e-01
110004;2017;NA;10k-100k;1;1,00000000000000e+00
110004;2018;Importado;<200;2;7,14285714285714e-02
110004;2018;Importado;200-300;3;1,07142857142857e-01
110004;2018;Importado;300-500;17;6,07142857142857e-01
110004;2018;Importado;500-10k;6;2,14285714285714e-01
110004;2019;Importado;<200;4;2,94117647058824e-02
110004;2019;Importado;200-300;22;1,61764705882353e-01
110004;2019;Importado;300-500;66;4,85294117647059e-01
110004;2019;Importado;500-10k;30;2,20588235294118e-01
110004;2019;Importado;10k-100k;3;2,20588235294118e-02
110004;2019;Importado;>100k;1;7,35294117647059e-03
110004;2019;Importado;NA;10;7,35294117647059e-02
110004;2020;Autóctone;500-10k;2;1,00000000000000e+00
110004;2020;Importado;<200;1;1,17647058823529e-02
110004;2020;Importado;200-300;9;1,05882352941176e-01
110004;2020;Importado;300-500;38;4,47058823529412e-01
110004;2020;Importado;500-10k;25;2,94117647058824e-01
110004;2020;Importado;NA;12;1,41176470588235e-01
110005;2007;Autóctone;200-300;2;6,66666666666667e-01
110005;2007;Autóctone;10k-100k;1;3,33333333333333e-01
110005;2007;Importado;<200;6;5,35714285714286e-02
110005;2007;Importado;200-300;9;8,03571428571429e-02
110005;2007;Importado;300-500;44;3,92857142857143e-01
110005;2007;Importado;500-10k;44;3,92857142857143e-01
110005;2007;Importado;10k-100k;7;6,25000000000000e-02
110005;2007;Importado;>100k;2;1,78571428571429e-02
110005;2007;NA;300-500;2;1,00000000000000e+00
110005;2008;Autóctone;500-10k;1;1,00000000000000e+00
110005;2008;Importado;<200;1;1,75438596491228e-02
110005;2008;Importado;200-300;6;1,05263157894737e-01
110005;2008;Importado;300-500;25;4,38596491228070e-01
110005;2008;Importado;500-10k;22;3,85964912280702e-01
110005;2008;Importado;10k-100k;2;3,50877192982456e-02
110005;2008;Importado;>100k;1;1,75438596491228e-02
110005;2008;NA;<200;1;2,00000000000000e-01
110005;2008;NA;300-500;2;4,00000000000000e-01
110005;2008;NA;500-10k;2;4,00000000000000e-01
110005;2009;Importado;<200;2;5,26315789473684e-02
110005;2009;Importado;200-300;2;5,26315789473684e-02
110005;2009;Importado;300-500;15;3,94736842105263e-01
110005;2009;Importado;500-10k;17;4,47368421052632e-01
110005;2009;Importado;10k-100k;2;5,26315789473684e-02
110005;2009;NA;300-500;2;3,33333333333333e-01
110005;2009;NA;500-10k;4;6,66666666666667e-01
110005;2010;Importado;<200;4;9,52380952380952e-02
110005;2010;Importado;200-300;1;2,38095238095238e-02
110005;2010;Importado;300-500;13;3,09523809523810e-01
110005;2010;Importado;500-10k;17;4,04761904761905e-01
110005;2010;Importado;10k-100k;7;1,66666666666667e-01
110005;2010;NA;300-500;1;1,00000000000000e+00
110005;2011;Importado;<200;1;7,69230769230769e-02
110005;2011;Importado;300-500;4;3,07692307692308e-01
110005;2011;Importado;500-10k;5;3,84615384615385e-01
110005;2011;Importado;10k-100k;3;2,30769230769231e-01
110005;2011;NA;500-10k;1;1,00000000000000e+00
110005;2012;Importado;<200;1;5,26315789473684e-02
110005;2012;Importado;300-500;7;3,68421052631579e-01
110005;2012;Importado;500-10k;10;5,26315789473684e-01
110005;2012;Importado;10k-100k;1;5,26315789473684e-02
110005;2012;NA;300-500;1;1,00000000000000e+00
110005;2013;Autóctone;300-500;1;1,00000000000000e+00
110005;2013;Importado;300-500;6;4,00000000000000e-01
110005;2013;Importado;500-10k;9;6,00000000000000e-01
110005;2014;Importado;<200;1;1,11111111111111e-01
110005;2014;Importado;300-500;2;2,22222222222222e-01
110005;2014;Importado;500-10k;6;6,66666666666667e-01
110005;2015;Importado;<200;1;1,66666666666667e-01
110005;2015;Importado;200-300;1;1,66666666666667e-01
110005;2015;Importado;300-500;3;5,00000000000000e-01
110005;2015;Importado;500-10k;1;1,66666666666667e-01
110005;2016;Importado;300-500;1;3,33333333333333e-01
110005;2016;Importado;500-10k;1;3,33333333333333e-01
110005;2016;Importado;10k-100k;1;3,33333333333333e-01
110005;2017;Importado;<200;1;5,00000000000000e-01
110005;2017;Importado;300-500;1;5,00000000000000e-01
110005;2018;Importado;500-10k;2;4,00000000000000e-01
110005;2018;Importado;10k-100k;3;6,00000000000000e-01
110005;2019;Importado;<200;4;2,10526315789474e-01
110005;2019;Importado;300-500;3;1,57894736842105e-01
110005;2019;Importado;500-10k;12;6,31578947368421e-01
110005;2020;Importado;500-10k;3;1,00000000000000e+00
110006;2007;Autóctone;300-500;1;1,00000000000000e+00
110006;2007;Importado;200-300;3;6,97674418604651e-02
110006;2007;Importado;300-500;16;3,72093023255814e-01
110006;2007;Importado;500-10k;20;4,65116279069767e-01
110006;2007;Importado;10k-100k;4;9,30232558139535e-02
110006;2008;Importado;<200;2;7,69230769230769e-02
110006;2008;Importado;200-300;3;1,15384615384615e-01
110006;2008;Importado;300-500;12;4,61538461538462e-01
110006;2008;Importado;500-10k;8;3,07692307692308e-01
110006;2008;Importado;10k-100k;1;3,84615384615385e-02
110006;2009;Importado;<200;1;6,25000000000000e-02
110006;2009;Importado;300-500;6;3,75000000000000e-01
110006;2009;Importado;500-10k;9;5,62500000000000e-01
110006;2010;Importado;300-500;13;5,20000000000000e-01
110006;2010;Importado;500-10k;11;4,40000000000000e-01
110006;2010;Importado;10k-100k;1;4,00000000000000e-02
110006;2011;Importado;200-300;1;7,69230769230769e-02
110006;2011;Importado;300-500;3;2,30769230769231e-01
110006;2011;Importado;500-10k;3;2,30769230769231e-01
110006;2011;Importado;10k-100k;1;7,69230769230769e-02
110006;2011;Importado;NA;5;3,84615384615385e-01
