origem;destino;ano;fluxos
510325;110002;2009; 248
110020;110011;2007; 247
160053;160030;2019; 247
110110;110002;2018; 246
160015;160030;2015; 246
130165;120020;2012; 245
140002;140010;2010; 244
150600;150680;2008; 244
120020;120042;2010; 243
150050;160027;2013; 242
160053;160060;2011; 242
120042;120020;2011; 241
150780;150060;2007; 241
130290;150375;2017; 239
140028;140030;2007; 239
140028;140030;2008; 237
120033;120020;2010; 236
130353;130260;2019; 235
510325;110013;2015; 235
120042;120020;2012; 234
150548;150178;2008; 234
130030;130260;2017; 233
210317;150550;2009; 233
160020;160030;2007; 232
110020;110002;2011; 231
110020;130090;2011; 231
130165;120020;2013; 231
150548;150810;2013; 231
130330;110002;2008; 230
150050;160027;2019; 230
150360;130290;2012; 230
130090;110020;2009; 229
150548;150085;2011; 229
160053;160030;2009; 229
110020;110045;2009; 228
130090;130240;2014; 228
130330;130014;2009; 228
130120;130260;2007; 227
150810;150178;2007; 227
160053;160030;2015; 227
130290;150360;2011; 226
150470;150795;2012; 226
150548;150506;2007; 226
120042;120020;2014; 225
120020;120042;2013; 224
130270;130170;2008; 224
130090;110020;2014; 223
130250;130260;2009; 223
110020;120040;2008; 222
110020;130090;2012; 221
130010;130063;2007; 221
130120;130260;2008; 221
140020;140010;2011; 221
110080;110020;2018; 220
120033;120020;2008; 220
150070;150140;2009; 219
150520;150140;2010; 219
160060;160030;2015; 219
150070;150140;2010; 218
510325;110013;2008; 217
110094;110002;2007; 216
150120;150810;2010; 216
150370;150420;2007; 215
160053;160030;2008; 215
140017;140010;2020; 214
140030;140010;2017; 214
160060;160030;2011; 214
130353;130260;2011; 213
160040;160060;2011; 213
130115;130260;2007; 212
150360;130290;2013; 212
150503;150360;2010; 212
130002;130420;2019; 211
150370;150420;2010; 210
510325;110013;2009; 210
140020;140010;2019; 209
150195;150550;2009; 209
160023;160053;2008; 209
120042;120020;2013; 208
140030;140010;2009; 208
150120;150810;2008; 208
160053;160060;2008; 208
150600;150680;2011; 207
160053;160060;2010; 207
130240;130070;2009; 206
120020;120042;2008; 205
150548;150085;2012; 205
120060;120020;2007; 204
130020;130060;2014; 204
160040;160030;2011; 204
150070;160030;2009; 203
120060;120020;2009; 201
130165;120020;2014; 201
130356;130260;2013; 201
160015;160053;2017; 201
110020;130090;2013; 200
130090;130170;2007; 200
160053;160030;2014; 200
130165;120020;2010; 199
160053;160030;2013; 198
150375;150360;2011; 197
510325;110002;2010; 197
130240;110020;2019; 196
140002;140010;2013; 196
150360;130290;2011; 196
160040;160030;2007; 196
150050;160027;2014; 195
160050;160030;2007; 195
150360;130290;2020; 194
150375;150360;2012; 193
130002;130420;2016; 192
130165;120020;2015; 192
130185;130260;2016; 192
130185;130260;2019; 192
150360;150680;2007; 192
110020;110033;2007; 191
150548;150506;2011; 191
150070;150030;2012; 190
120033;120020;2013; 189
150050;160027;2015; 189
160053;160060;2012; 189
120060;120020;2008; 188
150550;150495;2009; 188
160060;160030;2007; 187
140028;140010;2017; 186
150360;150680;2014; 186
110080;110020;2020; 185
130290;150360;2015; 185
140002;140010;2015; 185
150548;150178;2010; 185
150780;150060;2009; 185
130002;130420;2012; 184
150600;150680;2009; 184
160053;160060;2009; 184
130356;130260;2016; 183
150070;150180;2010; 183
150309;150497;2010; 183
160015;160053;2016; 183
510325;110013;2014; 183
110020;110045;2011; 182
120020;120042;2011; 182
110080;110020;2017; 181
120020;120033;2007; 180
140030;140010;2008; 180
150780;150060;2008; 180
120020;120040;2017; 179
150548;150085;2010; 179
110100;110070;2008; 178
130353;130260;2012; 178
160040;160060;2016; 178
130240;110020;2008; 177
130350;130070;2007; 177
140030;140010;2010; 177
150360;130290;2014; 177
510325;110013;2013; 177
130170;110020;2007; 176
140005;140010;2007; 176
140017;140010;2014; 176
120033;120020;2012; 175
130290;150360;2014; 175
130406;130060;2010; 175
140028;140010;2007; 175
150360;150375;2012; 175
160040;160060;2014; 175
110020;120040;2011; 174
130090;110020;2016; 174
150070;160030;2010; 174
150360;150805;2009; 174
150550;150495;2007; 174
150580;150548;2018; 174
160015;160053;2018; 174
160070;160030;2013; 174
120042;120033;2007; 173
160053;160060;2017; 173
130170;110020;2011; 172
130353;130260;2014; 172
150345;150812;2009; 172
120020;120040;2018; 171
120020;120042;2014; 171
130090;130240;2018; 171
130356;130260;2019; 171
160015;160005;2009; 171
120033;120020;2015; 170
160015;160053;2011; 170
510325;110013;2011; 170
150280;150180;2010; 169
120020;120042;2009; 168
120020;120042;2016; 168
150810;150178;2009; 168
160040;160060;2017; 168
110070;110045;2008; 167
130030;130260;2010; 167
130353;130260;2015; 167
150520;150210;2019; 167
150503;150060;2010; 166
160053;160030;2016; 166
110020;110002;2007; 165
110020;120040;2010; 165
130030;130260;2014; 165
130260;130320;2007; 165
150503;150360;2011; 165
110140;110002;2009; 163
130170;110020;2008; 163
150070;160030;2012; 163
150520;150210;2010; 163
110020;120040;2019; 162
130002;130420;2010; 162
120060;120020;2010; 161
130070;120040;2007; 161
140002;140010;2016; 161
150548;150178;2007; 161
130030;130260;2011; 160
130083;130250;2008; 160
110020;110010;2007; 159
130110;130260;2015; 159
130290;150360;2020; 159
160070;160030;2007; 159
120020;120042;2012; 158
150618;150380;2010; 158
110033;110045;2008; 157
120042;120020;2019; 156
150070;150180;2012; 156
150360;150503;2015; 156
160040;160060;2019; 156
160050;160030;2009; 156
160050;160030;2011; 156
120020;120040;2014; 155
160015;160030;2016; 155
160020;160030;2017; 155
160050;160030;2008; 155
510325;110013;2010; 155
120033;120020;2019; 154
130320;130260;2009; 154
150835;150060;2007; 154
