src;ano;casos;group
110100;2018;2;Total
110100;2020;1;Total
110110;2007;3589;Total
110110;2008;1426;Total
110110;2009;816;Total
110110;2010;913;Total
110110;2011;461;Total
110110;2012;348;Total
110110;2013;183;Total
110110;2014;104;Total
110110;2015;58;Total
110110;2016;273;Total
110110;2017;525;Total
110110;2018;615;Total
110110;2019;359;Total
110110;2020;39;Total
110120;2007;10;Total
110120;2008;2;Total
110120;2010;2;Total
110120;2013;1;Total
110120;2017;3;Total
110130;2007;269;Total
110130;2008;23;Total
110130;2009;10;Total
110130;2010;25;Total
110130;2011;3;Total
110130;2012;10;Total
110130;2013;3;Total
110130;2014;2;Total
110130;2016;2;Total
110130;2020;123;Total
110140;2007;1041;Total
110140;2008;445;Total
110140;2009;475;Total
110140;2010;212;Total
110140;2011;170;Total
110140;2012;159;Total
110140;2013;101;Total
110140;2014;49;Total
110140;2015;55;Total
110140;2016;73;Total
110140;2017;12;Total
110140;2018;14;Total
110140;2019;9;Total
110140;2020;1;Total
110143;2007;32;Total
110143;2008;20;Total
110143;2009;12;Total
110143;2010;21;Total
110143;2011;8;Total
110143;2013;2;Total
110143;2014;1;Total
110143;2017;1;Total
110143;2020;1;Total
110145;2007;3;Total
110145;2008;3;Total
110145;2009;3;Total
110145;2010;2;Total
110145;2014;1;Total
110146;2007;53;Total
110146;2008;35;Total
110146;2009;15;Total
110146;2010;68;Total
110146;2011;59;Total
110146;2012;20;Total
110146;2013;12;Total
110146;2014;4;Total
110146;2015;2;Total
110146;2017;1;Total
110146;2019;65;Total
110146;2020;2;Total
110147;2007;6;Total
110147;2008;5;Total
110147;2009;1;Total
110147;2010;3;Total
110147;2011;6;Total
110147;2012;1;Total
110147;2013;2;Total
110147;2014;1;Total
110148;2007;3;Total
110148;2008;1;Total
110148;2009;1;Total
110148;2010;1;Total
110148;2011;1;Total
110148;2013;2;Total
110149;2007;408;Total
110149;2008;217;Total
110149;2009;101;Total
110149;2010;35;Total
110149;2011;19;Total
110149;2012;24;Total
110149;2013;41;Total
110149;2014;27;Total
110149;2015;22;Total
110149;2016;16;Total
110149;2017;4;Total
110149;2018;4;Total
110149;2019;16;Total
110149;2020;5;Total
110150;2007;47;Total
110150;2008;94;Total
110150;2009;34;Total
110150;2010;14;Total
110150;2011;33;Total
110150;2012;14;Total
110150;2013;9;Total
110150;2014;3;Total
110150;2015;4;Total
110150;2016;2;Total
110150;2018;4;Total
110150;2019;17;Total
110150;2020;12;Total
110155;2007;2;Total
110155;2010;5;Total
110155;2011;1;Total
110155;2012;2;Total
110155;2013;3;Total
110155;2015;1;Total
110155;2016;3;Total
110155;2017;1;Total
110160;2007;1254;Total
110160;2008;470;Total
110160;2009;228;Total
110160;2010;69;Total
110160;2011;37;Total
110160;2012;16;Total
110160;2013;16;Total
110160;2014;2;Total
110160;2015;2;Total
110160;2016;3;Total
110160;2017;22;Total
110160;2018;9;Total
110160;2019;11;Total
110170;2007;81;Total
110170;2008;17;Total
110170;2009;11;Total
110170;2010;3;Total
110170;2011;11;Total
110170;2012;2;Total
110170;2013;7;Total
110170;2014;5;Total
110170;2015;2;Total
110170;2016;3;Total
110170;2017;1;Total
110170;2018;1;Total
110170;2019;1;Total
110170;2020;26;Total
110175;2007;1186;Total
110175;2008;948;Total
110175;2009;813;Total
110175;2010;379;Total
110175;2011;194;Total
110175;2012;207;Total
110175;2013;378;Total
110175;2014;60;Total
110175;2015;21;Total
110175;2016;39;Total
110175;2017;26;Total
110175;2018;13;Total
110175;2019;11;Total
110175;2020;7;Total
110180;2007;51;Total
110180;2008;29;Total
110180;2009;8;Total
110180;2010;1;Total
110180;2011;5;Total
110180;2012;4;Total
110180;2015;1;Total
110180;2016;2;Total
110180;2017;2;Total
110180;2018;1;Total
110180;2019;6;Total
120001;2007;1046;Total
120001;2008;307;Total
120001;2009;79;Total
120001;2010;156;Total
120001;2011;64;Total
120001;2012;77;Total
120001;2013;710;Total
120001;2014;161;Total
120001;2015;39;Total
120001;2016;34;Total
120001;2017;112;Total
120001;2018;119;Total
120001;2019;57;Total
120001;2020;23;Total
120005;2007;3;Total
120005;2008;3;Total
120005;2010;4;Total
120005;2011;4;Total
120005;2012;28;Total
120005;2013;17;Total
120005;2014;4;Total
120005;2015;2;Total
120005;2016;2;Total
120005;2017;1;Total
120005;2018;2;Total
120010;2007;7;Total
120010;2008;3;Total
120010;2009;1;Total
120010;2010;5;Total
120010;2011;5;Total
120010;2012;4;Total
120010;2013;1;Total
120010;2014;1;Total
120010;2015;3;Total
120010;2018;1;Total
120013;2007;254;Total
120013;2008;80;Total
120013;2009;11;Total
120013;2010;32;Total
120013;2011;12;Total
120013;2012;4;Total
120013;2013;3;Total
120013;2014;231;Total
120013;2015;19;Total
120013;2016;53;Total
120013;2017;13;Total
120013;2018;11;Total
120013;2019;31;Total
120013;2020;61;Total
120017;2007;183;Total
120017;2008;80;Total
120017;2009;38;Total
120017;2010;42;Total
120017;2011;6;Total
120017;2012;11;Total
120017;2013;4;Total
120017;2014;4;Total
120017;2015;10;Total
120017;2016;7;Total
120017;2017;9;Total
120017;2018;4;Total
120017;2019;1;Total
120017;2020;1;Total
120020;2007;29498;Total
120020;2008;14632;Total
120020;2009;15589;Total
120020;2010;23561;Total
120020;2011;13791;Total
120020;2012;17798;Total
120020;2013;21519;Total
120020;2014;18778;Total
120020;2015;15428;Total
120020;2016;21114;Total
120020;2017;24529;Total
120020;2018;15767;Total
120020;2019;6965;Total
120020;2020;3168;Total
120025;2007;12;Total
120025;2008;1;Total
120025;2009;7;Total
120025;2010;2;Total
120025;2011;1;Total
120025;2013;1;Total
120025;2014;1;Total
120025;2015;2;Total
120025;2020;6;Total
120030;2007;116;Total
120030;2008;12;Total
120030;2009;6;Total
120030;2010;33;Total
120030;2011;5;Total
120030;2012;16;Total
120030;2013;8;Total
120030;2014;44;Total
120030;2015;9;Total
120030;2016;4;Total
120030;2017;14;Total
120030;2018;8;Total
120030;2019;2;Total
120032;2007;190;Total
120032;2008;234;Total
120032;2009;234;Total
120032;2010;76;Total
120032;2011;7;Total
120032;2012;43;Total
120032;2013;36;Total
120032;2014;49;Total
120032;2015;16;Total
120032;2016;9;Total
120032;2017;11;Total
120032;2018;2;Total
120032;2019;4;Total
120033;2007;8953;Total
120033;2008;5342;Total
120033;2009;5842;Total
120033;2010;7280;Total
120033;2011;5770;Total
120033;2012;5655;Total
120033;2013;7503;Total
120033;2014;6448;Total
120033;2015;5732;Total
120033;2016;8517;Total
120033;2017;11018;Total
120033;2018;9894;Total
120033;2019;3913;Total
120033;2020;926;Total
120034;2007;6;Total
120034;2008;2;Total
120034;2009;7;Total
120034;2011;1;Total
120034;2012;2;Total
120034;2013;5;Total
120034;2014;5;Total
120034;2018;2;Total
120034;2019;1;Total
120035;2007;186;Total
120035;2008;72;Total
120035;2009;201;Total
120035;2010;174;Total
120035;2011;60;Total
120035;2012;87;Total
120035;2013;94;Total
120035;2014;102;Total
120035;2015;71;Total
120035;2016;72;Total
120035;2017;86;Total
120035;2018;88;Total
120035;2019;65;Total
120035;2020;18;Total
120038;2007;1619;Total
120038;2008;498;Total
120038;2009;296;Total
120038;2010;560;Total
120038;2011;204;Total
120038;2012;70;Total
120038;2013;163;Total
120038;2014;63;Total
120038;2015;66;Total
120038;2016;38;Total
120038;2017;71;Total
120038;2018;14;Total
120038;2019;94;Total
120038;2020;67;Total
120039;2007;672;Total
120039;2008;179;Total
120039;2009;417;Total
120039;2010;472;Total
120039;2011;77;Total
120039;2012;414;Total
120039;2013;329;Total
120039;2014;383;Total
120039;2015;606;Total
120039;2016;377;Total
120039;2017;358;Total
120039;2018;100;Total
120039;2019;296;Total
120039;2020;91;Total
120040;2007;610;Total
120040;2008;253;Total
120040;2009;161;Total
120040;2010;224;Total
120040;2011;149;Total
120040;2012;208;Total
120040;2013;114;Total
120040;2014;81;Total
120040;2015;100;Total
120040;2016;143;Total
120040;2017;161;Total
120040;2018;117;Total
120040;2019;126;Total
120040;2020;58;Total
120042;2007;8544;Total
120042;2008;3386;Total
120042;2009;2471;Total
120042;2010;4802;Total
120042;2011;4191;Total
120042;2012;4136;Total
120042;2013;3967;Total
120042;2014;5549;Total
120042;2015;5840;Total
120042;2016;6822;Total
120042;2017;5305;Total
120042;2018;4899;Total
120042;2019;2554;Total
120042;2020;772;Total
120043;2008;1;Total
120043;2010;1;Total
120043;2012;3;Total
120043;2014;3;Total
120043;2015;1;Total
120043;2016;1;Total
120043;2019;2;Total
120045;2007;1261;Total
120045;2008;557;Total
120045;2009;111;Total
120045;2010;160;Total
120045;2011;38;Total
120045;2012;122;Total
120045;2013;90;Total
120045;2014;77;Total
120045;2015;168;Total
120045;2016;243;Total
120045;2017;202;Total
120045;2018;293;Total
120045;2019;429;Total
120045;2020;138;Total
120050;2007;13;Total
120050;2008;18;Total
120050;2009;3;Total
120050;2010;6;Total
120050;2011;3;Total
120050;2012;4;Total
120050;2013;4;Total
120050;2014;6;Total
120050;2015;5;Total
120050;2016;2;Total
120050;2017;4;Total
120050;2020;1;Total
120060;2007;2184;Total
120060;2008;2648;Total
120060;2009;2743;Total
120060;2010;3213;Total
120060;2011;645;Total
120060;2012;1114;Total
120060;2013;1943;Total
120060;2014;1526;Total
120060;2015;1032;Total
120060;2016;955;Total
120060;2017;198;Total
120060;2018;169;Total
120060;2019;83;Total
120060;2020;25;Total
120070;2007;164;Total
120070;2008;36;Total
120070;2009;4;Total
120070;2010;7;Total
120070;2012;12;Total
120070;2013;4;Total
120070;2014;1;Total
120070;2015;5;Total
120070;2017;7;Total
120070;2018;10;Total
120070;2019;11;Total
120080;2007;391;Total
120080;2008;156;Total
120080;2009;111;Total
120080;2010;84;Total
120080;2011;116;Total
120080;2012;184;Total
120080;2013;64;Total
120080;2014;32;Total
120080;2015;39;Total
120080;2016;18;Total
120080;2017;24;Total
120080;2018;44;Total
120080;2019;62;Total
120080;2020;29;Total
130002;2007;4146;Total
130002;2008;4518;Total
130002;2009;4086;Total
130002;2010;1209;Total
130002;2011;1025;Total
130002;2012;2066;Total
130002;2013;3015;Total
130002;2014;1787;Total
130002;2015;2186;Total
130002;2016;572;Total
130002;2017;1765;Total
130002;2018;1445;Total
130002;2019;1023;Total
130002;2020;210;Total
130006;2007;154;Total
130006;2008;14;Total
130006;2009;197;Total
130006;2010;26;Total
130006;2011;15;Total
130006;2012;85;Total
130006;2013;211;Total
130006;2014;103;Total
130006;2015;20;Total
130006;2016;1;Total
130006;2017;4;Total
130006;2018;5;Total
130008;2007;378;Total
130008;2008;51;Total
130008;2009;20;Total
130008;2010;9;Total
130008;2011;18;Total
130008;2012;2;Total
130008;2013;5;Total
130008;2014;8;Total
130008;2015;4;Total
130008;2016;7;Total
130008;2017;2;Total
130008;2018;13;Total
130008;2019;2;Total
130010;2007;464;Total
130010;2008;8;Total
130010;2009;10;Total
130010;2010;11;Total
130010;2011;3;Total
130010;2012;10;Total
130010;2013;3;Total
130010;2014;2;Total
130010;2015;4;Total
130010;2016;2;Total
130010;2018;2;Total
130010;2019;1;Total
130010;2020;1;Total
130014;2007;1690;Total
130014;2008;811;Total
130014;2009;341;Total
130014;2010;276;Total
130014;2011;212;Total
130014;2012;218;Total
130014;2013;199;Total
130014;2014;67;Total
130014;2015;41;Total
130014;2016;43;Total
130014;2017;191;Total
130014;2018;69;Total
130014;2019;232;Total
130014;2020;74;Total
130020;2007;4426;Total
130020;2008;6324;Total
130020;2009;5263;Total
130020;2010;3889;Total
130020;2011;2930;Total
130020;2012;6184;Total
130020;2013;4274;Total
130020;2014;3259;Total
130020;2015;3475;Total
130020;2016;2627;Total
130020;2017;2040;Total
130020;2018;2452;Total
130020;2019;1804;Total
130020;2020;639;Total
130030;2007;7569;Total
130030;2008;3297;Total
130030;2009;1825;Total
130030;2010;681;Total
130030;2011;516;Total
130030;2012;687;Total
130030;2013;265;Total
130030;2014;461;Total
130030;2015;114;Total
130030;2016;86;Total
130030;2017;757;Total
130030;2018;349;Total
130030;2019;253;Total
130030;2020;33;Total
130040;2007;8043;Total
130040;2008;4398;Total
130040;2009;3452;Total
130040;2010;3972;Total
130040;2011;2432;Total
130040;2012;2633;Total
130040;2013;2513;Total
130040;2014;4096;Total
130040;2015;4663;Total
130040;2016;4155;Total
130040;2017;9546;Total
130040;2018;7255;Total
130040;2019;9854;Total
130040;2020;1326;Total
130050;2007;9;Total
130050;2008;3;Total
130050;2010;5;Total
130050;2015;1;Total
130050;2016;1;Total
130050;2017;6;Total
130050;2018;2;Total
130060;2007;240;Total
130060;2008;288;Total
130060;2009;745;Total
130060;2010;554;Total
130060;2011;332;Total
130060;2012;1871;Total
130060;2013;2249;Total
130060;2014;535;Total
130060;2015;1407;Total
130060;2016;336;Total
130060;2017;131;Total
130060;2018;68;Total
130060;2019;25;Total
130060;2020;1;Total
130063;2007;1666;Total
130063;2008;686;Total
130063;2009;468;Total
130063;2010;185;Total
130063;2011;240;Total
130063;2012;172;Total
130063;2013;143;Total
130063;2014;69;Total
130063;2015;6;Total
130063;2016;10;Total
130063;2017;86;Total
130063;2018;509;Total
130063;2019;154;Total
130063;2020;17;Total
130068;2007;33;Total
130068;2008;18;Total
130068;2009;14;Total
130068;2010;5;Total
130068;2011;3;Total
130068;2012;3;Total
130068;2013;1;Total
130068;2015;3;Total
130068;2016;4;Total
130068;2017;1;Total
130068;2019;1;Total
130070;2007;1445;Total
130070;2008;567;Total
130070;2009;747;Total
130070;2010;361;Total
130070;2011;247;Total
130070;2012;323;Total
130070;2013;248;Total
130070;2014;264;Total
130070;2015;292;Total
130070;2016;133;Total
130070;2017;142;Total
130070;2018;328;Total
130070;2019;406;Total
130070;2020;364;Total
130080;2007;7182;Total
130080;2008;6038;Total
130080;2009;3791;Total
130080;2010;2014;Total
130080;2011;3028;Total
130080;2012;827;Total
130080;2013;183;Total
130080;2014;78;Total
130080;2015;49;Total
130080;2016;61;Total
130080;2017;172;Total
130080;2018;584;Total
130080;2019;492;Total
130080;2020;26;Total
130083;2007;5033;Total
130083;2008;1044;Total
130083;2009;125;Total
130083;2010;71;Total
130083;2011;132;Total
130083;2012;337;Total
130083;2013;159;Total
130083;2014;32;Total
130083;2015;6;Total
130083;2016;4;Total
130083;2017;188;Total
130083;2018;200;Total
130083;2019;296;Total
130083;2020;21;Total
130090;2007;4233;Total
130090;2008;1882;Total
130090;2009;931;Total
130090;2010;907;Total
130090;2011;1207;Total
130090;2012;1027;Total
130090;2013;691;Total
130090;2014;740;Total
130090;2015;529;Total
130090;2016;662;Total
130090;2017;1173;Total
130090;2018;1664;Total
130090;2019;2207;Total
130090;2020;579;Total
130100;2007;762;Total
130100;2008;674;Total
130100;2009;1255;Total
130100;2010;611;Total
130100;2011;468;Total
130100;2012;2450;Total
130100;2013;1059;Total
130100;2014;842;Total
130100;2015;1374;Total
130100;2016;554;Total
130100;2017;2209;Total
130100;2018;1990;Total
130100;2019;2016;Total
130100;2020;1124;Total
130110;2007;12272;Total
130110;2008;5911;Total
130110;2009;2081;Total
130110;2010;1215;Total
130110;2011;1002;Total
130110;2012;486;Total
130110;2013;528;Total
130110;2014;876;Total
130110;2015;483;Total
130110;2016;342;Total
130110;2017;1153;Total
130110;2018;377;Total
130110;2019;106;Total
130110;2020;57;Total
130115;2007;1198;Total
130115;2008;614;Total
130115;2009;296;Total
130115;2010;134;Total
130115;2011;102;Total
130115;2012;214;Total
130115;2013;206;Total
130115;2014;367;Total
130115;2015;383;Total
130115;2016;175;Total
130115;2017;1216;Total
130115;2018;278;Total
130115;2019;45;Total
130115;2020;16;Total
130120;2007;13328;Total
130120;2008;11329;Total
130120;2009;6981;Total
130120;2010;3555;Total
130120;2011;2618;Total
130120;2012;3376;Total
130120;2013;2918;Total
130120;2014;2613;Total
130120;2015;2450;Total
130120;2016;1662;Total
130120;2017;5449;Total
130120;2018;3471;Total
130120;2019;3768;Total
130120;2020;798;Total
130130;2007;833;Total
130130;2008;285;Total
130130;2009;122;Total
130130;2010;33;Total
130130;2011;59;Total
130130;2012;342;Total
130130;2013;5;Total
130130;2014;3;Total
130130;2015;2;Total
130130;2016;2;Total
130130;2017;6;Total
130130;2018;12;Total
130130;2019;4;Total
130140;2007;772;Total
130140;2008;3029;Total
130140;2009;2451;Total
130140;2010;4344;Total
130140;2011;4196;Total
130140;2012;10099;Total
130140;2013;9327;Total
130140;2014;5663;Total
130140;2015;6867;Total
130140;2016;605;Total
130140;2017;184;Total
130140;2018;161;Total
130140;2019;549;Total
130140;2020;699;Total
130150;2007;21;Total
130150;2008;24;Total
130150;2009;22;Total
130150;2010;60;Total
130150;2011;87;Total
130150;2012;274;Total
130150;2013;446;Total
130150;2014;382;Total
130150;2015;461;Total
130150;2016;67;Total
130150;2017;19;Total
130150;2018;90;Total
130150;2019;17;Total
130150;2020;10;Total
130160;2007;181;Total
130160;2008;142;Total
130160;2009;236;Total
130160;2010;123;Total
130160;2011;124;Total
130160;2012;427;Total
130160;2013;135;Total
130160;2014;68;Total
130160;2015;44;Total
130160;2016;177;Total
130160;2017;58;Total
130160;2018;29;Total
130160;2019;41;Total
130160;2020;2;Total
130165;2007;4690;Total
130165;2008;4389;Total
130165;2009;2790;Total
130165;2010;1476;Total
130165;2011;1216;Total
130165;2012;2185;Total
130165;2013;2934;Total
130165;2014;2137;Total
130165;2015;2059;Total
130165;2016;2272;Total
130165;2017;4289;Total
130165;2018;2503;Total
130165;2019;857;Total
130165;2020;423;Total
130170;2007;5501;Total
130170;2008;6044;Total
130170;2009;1597;Total
130170;2010;1458;Total
130170;2011;2263;Total
130170;2012;784;Total
130170;2013;1109;Total
130170;2014;1859;Total
130170;2015;717;Total
130170;2016;1431;Total
130170;2017;1611;Total
130170;2018;1264;Total
130170;2019;2201;Total
130170;2020;518;Total
130180;2007;1313;Total
130180;2008;4985;Total
130180;2009;6700;Total
130180;2010;713;Total
130180;2011;714;Total
130180;2012;4341;Total
130180;2013;7245;Total
130180;2014;3347;Total
130180;2015;8771;Total
130180;2016;1562;Total
130180;2017;2000;Total
130180;2018;1175;Total
130180;2019;1967;Total
130180;2020;754;Total
130185;2007;4342;Total
130185;2008;3104;Total
130185;2009;1250;Total
