mun;ano;mes;group;n;p
110001;2012;dez;Importado;2;0,400000000000000022
110001;2013;jan;Autóctone;7;0,699999999999999956
110001;2013;jan;Importado;3;0,299999999999999989
110001;2013;fev;Autóctone;3;1,000000000000000000
110001;2013;mar;Autóctone;2;1,000000000000000000
110001;2013;abr;Autóctone;5;0,833333333333333370
110001;2013;abr;Importado;1;0,166666666666666657
110001;2013;mai;NA;6;1,000000000000000000
110001;2013;jun;Autóctone;2;0,666666666666666630
110001;2013;jun;NA;1;0,333333333333333315
110001;2013;jul;Autóctone;2;0,333333333333333315
110001;2013;jul;NA;4;0,666666666666666630
110001;2013;ago;Autóctone;6;1,000000000000000000
110001;2013;set;Autóctone;1;1,000000000000000000
110001;2013;out;Autóctone;29;0,852941176470588203
110001;2013;out;NA;5;0,147058823529411770
110001;2013;nov;Autóctone;18;0,900000000000000022
110001;2013;nov;Importado;2;0,100000000000000006
110001;2013;dez;Autóctone;2;0,666666666666666630
110001;2013;dez;Importado;1;0,333333333333333315
110001;2014;jan;Autóctone;3;0,599999999999999978
110001;2014;jan;Importado;2;0,400000000000000022
110001;2014;fev;Autóctone;10;1,000000000000000000
110001;2014;mar;Autóctone;10;0,909090909090909061
110001;2014;mar;Importado;1;0,090909090909090912
110001;2014;abr;Autóctone;3;1,000000000000000000
110001;2014;mai;Autóctone;4;0,800000000000000044
110001;2014;mai;NA;1;0,200000000000000011
110001;2014;jun;Autóctone;6;0,857142857142857095
110001;2014;jun;NA;1;0,142857142857142849
110001;2014;jul;Autóctone;9;1,000000000000000000
110001;2014;ago;Autóctone;18;1,000000000000000000
110001;2014;set;Autóctone;7;0,699999999999999956
110001;2014;set;NA;3;0,299999999999999989
110001;2014;out;Autóctone;10;0,909090909090909061
110001;2014;out;NA;1;0,090909090909090912
110001;2014;nov;Autóctone;10;1,000000000000000000
110001;2014;dez;Autóctone;5;0,833333333333333370
110001;2014;dez;Importado;1;0,166666666666666657
110001;2015;jan;Autóctone;2;1,000000000000000000
